,Geography,Estimate!!Total,Estimate!!Total!!U.S. citizen born in the United States,Estimate!!Total!!U.S. citizen born in Puerto Rico or U.S. Island Areas,Estimate!!Total!!U.S. citizen born abroad of American parent(s),Estimate!!Total!!U.S. citizen by naturalization,Estimate!!Total!!Not a U.S. citizen,NAME,state,county,tract
0,1400000US06001400100,2991,2033,11,46,653,248,"Census Tract 4001, Alameda County, California",06,001,400100
1,1400000US06001400200,1997,1668,11,38,158,122,"Census Tract 4002, Alameda County, California",06,001,400200
2,1400000US06001400300,5123,4241,13,78,539,252,"Census Tract 4003, Alameda County, California",06,001,400300
3,1400000US06001400400,3991,3336,0,79,301,275,"Census Tract 4004, Alameda County, California",06,001,400400
4,1400000US06001400500,3944,3258,0,111,228,347,"Census Tract 4005, Alameda County, California",06,001,400500
5,1400000US06001400600,1635,1373,0,28,153,81,"Census Tract 4006, Alameda County, California",06,001,400600
6,1400000US06001400700,4837,4099,0,38,242,458,"Census Tract 4007, Alameda County, California",06,001,400700
7,1400000US06001400800,3796,2970,0,38,466,322,"Census Tract 4008, Alameda County, California",06,001,400800
8,1400000US06001400900,2394,2003,0,34,182,175,"Census Tract 4009, Alameda County, California",06,001,400900
9,1400000US06001401000,6247,5649,0,44,139,415,"Census Tract 4010, Alameda County, California",06,001,401000
10,1400000US06001401100,4205,3299,152,157,376,221,"Census Tract 4011, Alameda County, California",06,001,401100
11,1400000US06001401200,2601,2194,14,50,222,121,"Census Tract 4012, Alameda County, California",06,001,401200
12,1400000US06001401300,4054,3166,5,68,352,463,"Census Tract 4013, Alameda County, California",06,001,401300
13,1400000US06001401400,4013,3008,0,38,282,685,"Census Tract 4014, Alameda County, California",06,001,401400
14,1400000US06001401500,2638,2125,29,28,178,278,"Census Tract 4015, Alameda County, California",06,001,401500
15,1400000US06001401600,2098,1617,8,21,244,208,"Census Tract 4016, Alameda County, California",06,001,401600
16,1400000US06001401700,2769,2150,0,0,266,353,"Census Tract 4017, Alameda County, California",06,001,401700
17,1400000US06001401800,1928,1596,0,32,108,192,"Census Tract 4018, Alameda County, California",06,001,401800
18,1400000US06001402200,2557,1967,0,8,348,234,"Census Tract 4022, Alameda County, California",06,001,402200
19,1400000US06001402400,2820,2263,0,15,343,199,"Census Tract 4024, Alameda County, California",06,001,402400
20,1400000US06001402500,1770,1483,0,12,174,101,"Census Tract 4025, Alameda County, California",06,001,402500
21,1400000US06001402600,1241,606,0,30,362,243,"Census Tract 4026, Alameda County, California",06,001,402600
22,1400000US06001402700,1826,1507,0,18,126,175,"Census Tract 4027, Alameda County, California",06,001,402700
23,1400000US06001402800,4255,3027,0,57,547,624,"Census Tract 4028, Alameda County, California",06,001,402800
24,1400000US06001402900,1417,804,0,0,362,251,"Census Tract 4029, Alameda County, California",06,001,402900
25,1400000US06001403000,3251,818,10,18,1425,980,"Census Tract 4030, Alameda County, California",06,001,403000
26,1400000US06001403100,1830,1123,4,52,387,264,"Census Tract 4031, Alameda County, California",06,001,403100
27,1400000US06001403300,4743,2162,0,44,1248,1289,"Census Tract 4033, Alameda County, California",06,001,403300
28,1400000US06001403400,4401,3127,28,71,763,412,"Census Tract 4034, Alameda County, California",06,001,403400
29,1400000US06001403501,4698,3320,0,147,804,427,"Census Tract 4035.01, Alameda County, California",06,001,403501
30,1400000US06001403502,2066,1541,11,28,388,98,"Census Tract 4035.02, Alameda County, California",06,001,403502
31,1400000US06001403600,5025,3727,0,53,621,624,"Census Tract 4036, Alameda County, California",06,001,403600
32,1400000US06001403701,2825,2099,17,74,402,233,"Census Tract 4037.01, Alameda County, California",06,001,403701
33,1400000US06001403702,1901,1586,0,8,183,124,"Census Tract 4037.02, Alameda County, California",06,001,403702
34,1400000US06001403800,3299,2732,0,99,298,170,"Census Tract 4038, Alameda County, California",06,001,403800
35,1400000US06001403900,3989,3121,0,0,530,338,"Census Tract 4039, Alameda County, California",06,001,403900
36,1400000US06001404000,3033,2247,0,51,365,370,"Census Tract 4040, Alameda County, California",06,001,404000
37,1400000US06001404101,3033,2516,0,100,287,130,"Census Tract 4041.01, Alameda County, California",06,001,404101
38,1400000US06001404102,2422,1978,0,16,289,139,"Census Tract 4041.02, Alameda County, California",06,001,404102
39,1400000US06001404200,3600,2920,0,36,406,238,"Census Tract 4042, Alameda County, California",06,001,404200
40,1400000US06001404300,3324,2812,0,70,368,74,"Census Tract 4043, Alameda County, California",06,001,404300
41,1400000US06001404400,5425,4427,0,79,578,341,"Census Tract 4044, Alameda County, California",06,001,404400
42,1400000US06001404501,1857,1529,0,20,220,88,"Census Tract 4045.01, Alameda County, California",06,001,404501
43,1400000US06001404502,5556,4637,0,55,686,178,"Census Tract 4045.02, Alameda County, California",06,001,404502
44,1400000US06001404600,4544,3903,0,52,423,166,"Census Tract 4046, Alameda County, California",06,001,404600
45,1400000US06001404700,2084,1771,0,49,144,120,"Census Tract 4047, Alameda County, California",06,001,404700
46,1400000US06001404800,2723,1992,0,91,364,276,"Census Tract 4048, Alameda County, California",06,001,404800
47,1400000US06001404900,3937,3414,22,56,362,83,"Census Tract 4049, Alameda County, California",06,001,404900
48,1400000US06001405000,3328,2902,11,81,223,111,"Census Tract 4050, Alameda County, California",06,001,405000
49,1400000US06001405100,4334,3804,0,36,362,132,"Census Tract 4051, Alameda County, California",06,001,405100
50,1400000US06001405200,5125,3786,0,25,874,440,"Census Tract 4052, Alameda County, California",06,001,405200
51,1400000US06001405301,3019,2410,7,52,342,208,"Census Tract 4053.01, Alameda County, California",06,001,405301
52,1400000US06001405302,2446,1303,0,43,658,442,"Census Tract 4053.02, Alameda County, California",06,001,405302
53,1400000US06001405401,4014,2155,5,43,870,941,"Census Tract 4054.01, Alameda County, California",06,001,405401
54,1400000US06001405402,3250,1704,0,8,511,1027,"Census Tract 4054.02, Alameda County, California",06,001,405402
55,1400000US06001405500,4124,2217,0,115,1167,625,"Census Tract 4055, Alameda County, California",06,001,405500
