total_foreign_born_not_a_u.s._citizen_africa,total_foreign_born_not_a_u.s._citizen_oceania,total_foreign_born_not_a_u.s._citizen_latin_america,total_foreign_born_not_a_u.s._citizen_northern_america,geography,total,total_native,total_native_born_in_state_of_residence,total_native_born_in_other_state_in_the_united_states,total_native_born_in_other_state_in_the_united_states_northeast,total_native_born_in_other_state_in_the_united_states_midwest,total_native_born_in_other_state_in_the_united_states_south,total_native_born_in_other_state_in_the_united_states_west,total_native_born_outside_the_united_states,total_native_born_outside_the_united_states_puerto_rico,total_native_born_outside_the_united_states_u.s._island_areas,total_native_born_outside_the_united_states_born_abroad_of_american_parent(s),total_foreign_born,total_foreign_born_naturalized_u.s._citizen,total_foreign_born_naturalized_u.s._citizen_europe,total_foreign_born_naturalized_u.s._citizen_asia,total_foreign_born_naturalized_u.s._citizen_africa,total_foreign_born_naturalized_u.s._citizen_oceania,total_foreign_born_naturalized_u.s._citizen_latin_america,total_foreign_born_naturalized_u.s._citizen_northern_america,total_foreign_born_not_a_u.s._citizen,total_foreign_born_not_a_u.s._citizen_europe,total_foreign_born_not_a_u.s._citizen_asia,name,state,county
0,0,388,62,0500000US06049,9017,8376,4979,3363,337,684,480,1862,34,3,0,31,641,128,10,35,0,0,72,11,513,16,47,"Modoc County, California",06,049
42,27,36127,90,0500000US06047,267390,199186,168345,28852,3536,7699,10113,7504,1989,244,25,1720,68204,26789,2831,7924,120,112,15654,148,41415,1528,3601,"Merced County, California",06,047
1,39,2464,121,0500000US06033,64095,58490,43863,13980,2160,4711,3737,3372,647,21,8,618,5605,2602,508,370,33,77,1443,171,3003,285,93,"Lake County, California",06,033
31,82,266,18,0500000US06043,17658,16450,11791,4497,807,1300,1243,1147,162,0,0,162,1208,551,156,86,76,34,199,0,657,187,73,"Mariposa County, California",06,043
36,56,3788,24,0500000US06115,74644,65557,48850,15691,2198,3852,5313,4328,1016,40,89,887,9087,4345,437,1905,36,8,1927,32,4742,143,695,"Yuba County, California",06,115
3320,1751,73134,1701,0500000US06013,1123678,846082,626552,201313,48242,59523,53296,40252,18217,1371,948,15898,277596,148222,15677,84822,4124,2115,39226,2258,129374,8643,40825,"Contra Costa County, California",06,013
0,6,755,26,0500000US06027,18195,16484,12139,4250,683,1412,779,1376,95,7,2,86,1711,800,78,156,19,3,496,48,911,54,70,"Inyo County, California",06,027
15,135,927,25,0500000US06035,31470,29625,22478,6788,617,1635,1438,3098,359,20,71,268,1845,512,122,139,20,7,221,3,1333,28,203,"Lassen County, California",06,035
253,812,51295,217,0500000US06099,535684,424955,353700,65217,8250,17788,21286,17893,6038,491,395,5152,110729,48159,3670,17823,526,1952,23653,535,62570,2179,7814,"Stanislaus County, California",06,099
448,363,54592,545,0500000US06083,442996,341234,249096,86516,20387,26534,20213,19382,5622,224,274,5124,101762,34647,4953,7970,456,209,20190,869,67115,4073,7094,"Santa Barbara County, California",06,083
947,686,36904,851,0500000US06097,500943,417736,308071,103008,25495,31246,21497,24770,6657,282,347,6028,83207,35925,6017,10531,1172,733,16450,1022,47282,3606,4288,"Sonoma County, California",06,097
14,12,2594,33,0500000US06103,63247,57467,45426,11694,1535,3417,3014,3728,347,40,16,291,5780,2964,281,435,84,4,2136,24,2816,54,109,"Tehama County, California",06,103
15,0,28343,245,0500000US06025,179957,122960,104555,13645,1097,2868,3724,5956,4760,195,29,4536,56997,27350,145,1015,24,23,26123,20,29647,77,967,"Imperial County, California",06,025
5,0,1504,0,0500000US06051,14058,11612,8410,2926,716,532,321,1357,276,0,0,276,2446,391,210,20,0,0,161,0,2055,309,237,"Mono County, California",06,051
68,8,6204,80,0500000US06069,58671,46661,39037,6630,953,1541,2149,1987,994,29,42,923,12010,5018,545,717,45,21,3594,96,6992,282,350,"San Benito County, California",06,069
7051,2974,96023,2984,0500000US06001,1629615,1105799,801699,279366,69632,76030,82775,50929,24734,1838,2835,20061,523816,276213,18222,198390,8526,4988,43247,2840,247603,13849,124709,"Alameda County, California",06,001
