geography,total,total_male,total_male_under_18_years,total_male_under_18_years_native,total_male_under_18_years_foreign_born,total_male_under_18_years_foreign_born_naturalized_u.s._citizen,total_male_under_18_years_foreign_born_not_a_u.s._citizen,total_male_18_years_and_over,total_male_18_years_and_over_native,total_male_18_years_and_over_foreign_born,total_male_18_years_and_over_foreign_born_naturalized_u.s._citizen,total_male_18_years_and_over_foreign_born_not_a_u.s._citizen,total_female,total_female_under_18_years,total_female_under_18_years_native,total_female_under_18_years_foreign_born,total_female_under_18_years_foreign_born_naturalized_u.s._citizen,total_female_under_18_years_foreign_born_not_a_u.s._citizen,total_female_18_years_and_over,total_female_18_years_and_over_native,total_female_18_years_and_over_foreign_born,total_female_18_years_and_over_foreign_born_naturalized_u.s._citizen,total_female_18_years_and_over_foreign_born_not_a_u.s._citizen,name,state,county
0500000US06049,8244,4295,872,842,30,0,30,3423,3062,361,54,307,3949,702,695,7,0,7,3247,3078,169,47,122,"Modoc County, California",06,049
0500000US06047,153649,77021,21560,21089,471,57,414,55461,41956,13505,5287,8218,76628,20325,19986,339,82,257,56303,43142,13161,5399,7762,"Merced County, California",06,047
0500000US06033,49841,24819,4331,4266,65,0,65,20488,18992,1496,683,813,25022,3953,3870,83,0,83,21069,19898,1171,630,541,"Lake County, California",06,033
0500000US06043,15715,8013,1386,1376,10,0,10,6627,6308,319,129,190,7702,1195,1175,20,0,20,6507,6104,403,180,223,"Mariposa County, California",06,043
0500000US06115,54601,27223,6726,6669,57,0,57,20497,18464,2033,897,1136,27378,6976,6883,93,0,93,20402,18200,2202,1018,1184,"Yuba County, California",06,115
0500000US06013,658569,324216,68811,65900,2911,594,2317,255405,208916,46489,21467,25022,334353,65957,63281,2676,440,2236,268396,219040,49356,25825,23531,"Contra Costa County, California",06,013
0500000US06027,14685,7433,1476,1456,20,0,20,5957,5365,592,276,316,7252,1283,1259,24,0,24,5969,5327,642,290,352,"Inyo County, California",06,027
0500000US06035,25615,16127,2269,2267,2,0,2,13858,12950,908,223,685,9488,2094,2094,0,0,0,7394,7218,176,135,41,"Lassen County, California",06,035
0500000US06099,400661,196834,53090,51334,1756,163,1593,143744,112535,31209,12888,18321,203827,51522,50222,1300,149,1151,152305,121855,30450,13189,17261,"Stanislaus County, California",06,099
0500000US06083,330827,164586,35684,34004,1680,88,1592,128902,97590,31312,9088,22224,166241,34211,32819,1392,87,1305,132030,102264,29766,10385,19381,"Santa Barbara County, California",06,083
0500000US06097,377401,182735,33307,32589,718,143,575,149428,133266,16162,7485,8677,194666,31450,30799,651,132,519,163216,146803,16413,8885,7528,"Sonoma County, California",06,097
0500000US06103,54371,26987,6419,6404,15,0,15,20568,18625,1943,949,994,27384,5955,5836,119,0,119,21429,19802,1627,849,778,"Tehama County, California",06,103
0500000US06025,117188,57217,17654,16558,1096,449,647,39563,23698,15865,8529,7336,59971,16543,15499,1044,429,615,43428,23364,20064,10212,9852,"Imperial County, California",06,025
0500000US06051,11987,6313,1030,1030,0,0,0,5283,4673,610,167,443,5674,1102,1102,0,0,0,4572,3526,1046,117,929,"Mono County, California",06,051
0500000US06069,48136,24041,6379,6258,121,8,113,17662,13368,4294,1654,2640,24095,6226,5998,228,47,181,17869,13758,4111,1561,2550,"San Benito County, California",06,069
0500000US06001,694720,346086,63356,61014,2342,268,2074,282730,226548,56182,23666,32516,348634,61015,58207,2808,361,2447,287619,234081,53538,26031,27507,"Alameda County, California",06,001
0500000US06067,877495,429438,95184,90665,4519,931,3588,334254,281494,52760,26639,26121,448057,89903,85767,4136,937,3199,358154,302361,55793,30778,25015,"Sacramento County, California",06,067
0500000US06017,161881,81097,16397,16340,57,57,0,64700,60390,4310,2474,1836,80784,15132,15041,91,31,60,65652,60483,5169,2955,2214,"El Dorado County, California",06,017
