geography,total,total_male,total_male_under_18_years,total_male_under_18_years_native,total_male_under_18_years_foreign_born,total_male_under_18_years_foreign_born_naturalized_u.s._citizen,total_male_under_18_years_foreign_born_not_a_u.s._citizen,total_male_18_years_and_over,total_male_18_years_and_over_native,total_male_18_years_and_over_foreign_born,total_male_18_years_and_over_foreign_born_naturalized_u.s._citizen,total_male_18_years_and_over_foreign_born_not_a_u.s._citizen,total_female,total_female_under_18_years,total_female_under_18_years_native,total_female_under_18_years_foreign_born,total_female_under_18_years_foreign_born_naturalized_u.s._citizen,total_female_under_18_years_foreign_born_not_a_u.s._citizen,total_female_18_years_and_over,total_female_18_years_and_over_native,total_female_18_years_and_over_foreign_born,total_female_18_years_and_over_foreign_born_naturalized_u.s._citizen,total_female_18_years_and_over_foreign_born_not_a_u.s._citizen,name,state,county
0500000US06049,65,44,0,0,0,0,0,44,44,0,0,0,21,0,0,0,0,0,21,21,0,0,0,"Modoc County, California",06,049
0500000US06047,8621,4636,1053,1048,5,5,0,3583,3491,92,28,64,3985,867,867,0,0,0,3118,3051,67,29,38,"Merced County, California",06,047
0500000US06033,1493,740,182,182,0,0,0,558,549,9,0,9,753,201,201,0,0,0,552,543,9,0,9,"Lake County, California",06,033
0500000US06043,215,94,0,0,0,0,0,94,66,28,22,6,121,23,23,0,0,0,98,46,52,27,25,"Mariposa County, California",06,043
0500000US06115,2484,1447,409,409,0,0,0,1038,994,44,19,25,1037,272,272,0,0,0,765,747,18,11,7,"Yuba County, California",06,115
0500000US06013,96345,44757,11443,11047,396,60,336,33314,30287,3027,1808,1219,51588,11041,10629,412,89,323,40547,37320,3227,1827,1400,"Contra Costa County, California",06,013
0500000US06027,174,118,11,11,0,0,0,107,104,3,3,0,56,7,7,0,0,0,49,38,11,11,0,"Inyo County, California",06,027
0500000US06035,2748,2518,6,6,0,0,0,2512,2492,20,0,20,230,14,12,2,0,2,216,187,29,16,13,"Lassen County, California",06,035
0500000US06099,15121,7453,1949,1929,20,0,20,5504,5084,420,165,255,7668,2077,2070,7,0,7,5591,5119,472,327,145,"Stanislaus County, California",06,099
0500000US06083,8307,4567,754,730,24,11,13,3813,3558,255,97,158,3740,697,672,25,8,17,3043,2707,336,175,161,"Santa Barbara County, California",06,083
0500000US06097,7848,4223,722,691,31,0,31,3501,2652,849,326,523,3625,834,834,0,0,0,2791,1638,1153,638,515,"Sonoma County, California",06,097
0500000US06103,379,265,26,26,0,0,0,239,236,3,0,3,114,14,14,0,0,0,100,100,0,0,0,"Tehama County, California",06,103
0500000US06025,4785,3826,337,337,0,0,0,3489,3431,58,39,19,959,285,285,0,0,0,674,578,96,48,48,"Imperial County, California",06,025
0500000US06051,74,62,0,0,0,0,0,62,57,5,0,5,12,0,0,0,0,0,12,0,12,0,12,"Mono County, California",06,051
0500000US06069,442,213,38,38,0,0,0,175,155,20,20,0,229,33,33,0,0,0,196,137,59,16,43,"San Benito County, California",06,069
0500000US06001,180446,85009,18194,17717,477,135,342,66815,59526,7289,3871,3418,95437,17876,17378,498,166,332,77561,70878,6683,3693,2990,"Alameda County, California",06,001
0500000US06067,147425,72237,18337,18186,151,91,60,53900,50262,3638,1967,1671,75188,18043,17865,178,83,95,57145,53594,3551,2308,1243,"Sacramento County, California",06,067
0500000US06017,1789,985,195,195,0,0,0,790,776,14,0,14,804,261,261,0,0,0,543,537,6,0,6,"El Dorado County, California",06,017
0500000US06055,2998,1632,353,349,4,0,4,1279,1174,105,57,48,1366,299,299,0,0,0,1067,968,99,80,19,"Napa County, California",06,055
0500000US06073,164571,88802,18666,17718,948,451,497,70136,62673,7463,4506,2957,75769,18354,17544,810,196,614,57415,50337,7078,4368,2710,"San Diego County, California",06,073
0500000US06053,11278,7350,1007,1007,0,0,0,6343,5918,425,299,126,3928,748,738,10,10,0,3180,2865,315,228,87,"Monterey County, California",06,053
0500000US06075,45654,23343,3617,3450,167,0,167,19726,17661,2065,1010,1055,22311,3762,3710,52,52,0,18549,17349,1200,536,664,"San Francisco County, California",06,075
0500000US06091,4,2,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,2,2,0,0,0,"Sierra County, California",06,091
0500000US06107,7177,3722,1090,1074,16,0,16,2632,2462,170,92,78,3455,939,930,9,9,0,2516,2417,99,44,55,"Tulare County, California",06,107
0500000US06113,5301,2863,623,595,28,8,20,2240,2040,200,135,65,2438,462,455,7,0,7,1976,1668,308,249,59,"Yolo County, California",06,113
0500000US06023,1609,945,45,42,3,0,3,900,758,142,84,58,664,120,120,0,0,0,544,501,43,22,21,"Humboldt County, California",06,023
0500000US06057,582,411,41,41,0,0,0,370,336,34,0,34,171,66,66,0,0,0,105,102,3,0,3,"Nevada County, California",06,057
0500000US06003,18,14,10,10,0,0,0,4,4,0,0,0,4,0,0,0,0,0,4,4,0,0,0,"Alpine County, California",06,003
0500000US06039,4938,1538,421,421,0,0,0,1117,989,128,72,56,3400,372,372,0,0,0,3028,2954,74,73,1,"Madera County, California",06,039
0500000US06045,620,431,38,38,0,0,0,393,348,45,25,20,189,20,20,0,0,0,169,159,10,0,10,"Mendocino County, California",06,045
0500000US06087,2424,1455,137,120,17,17,0,1318,1210,108,73,35,969,221,194,27,27,0,748,643,105,59,46,"Santa Cruz County, California",06,087
0500000US06105,104,88,27,27,0,0,0,61,61,0,0,0,16,0,0,0,0,0,16,16,0,0,0,"Trinity County, California",06,105
0500000US06037,828981,390585,85885,84452,1433,475,958,304700,276858,27842,16936,10906,438396,84204,82566,1638,736,902,354192,323940,30252,19769,10483,"Los Angeles County, California",06,037
0500000US06065,148960,74591,19211,19016,195,25,170,55380,50721,4659,3066,1593,74369,17645,17206,439,65,374,56724,52525,4199,2755,1444,"Riverside County, California",06,065
0500000US06071,178674,86701,24724,24400,324,185,139,61977,57518,4459,2988,1471,91973,23490,23267,223,49,174,68483,63080,5403,3718,1685,"San Bernardino County, California",06,071
0500000US06085,48314,25089,5243,4882,361,124,237,19846,15274,4572,2844,1728,23225,5435,5224,211,172,39,17790,13555,4235,2721,1514,"Santa Clara County, California",06,085
0500000US06041,5759,3609,393,383,10,0,10,3216,2621,595,345,250,2150,354,354,0,0,0,1796,1491,305,182,123,"Marin County, California",06,041
0500000US06061,5756,3282,702,687,15,15,0,2580,2362,218,60,158,2474,468,451,17,0,17,2006,1797,209,157,52,"Placer County, California",06,061
0500000US06093,675,383,32,27,5,5,0,351,325,26,20,6,292,113,81,32,32,0,179,179,0,0,0,"Siskiyou County, California",06,093
0500000US06089,2007,1115,251,245,6,6,0,864,801,63,24,39,892,302,302,0,0,0,590,555,35,27,8,"Shasta County, California",06,089
0500000US06095,61752,30881,6802,6647,155,57,98,24079,23288,791,328,463,30871,6822,6771,51,51,0,24049,23123,926,592,334,"Solano County, California",06,095
0500000US06015,493,449,7,7,0,0,0,442,423,19,19,0,44,0,0,0,0,0,44,44,0,0,0,"Del Norte County, California",06,015
0500000US06011,198,160,40,40,0,0,0,120,120,0,0,0,38,0,0,0,0,0,38,38,0,0,0,"Colusa County, California",06,011
0500000US06021,220,190,30,30,0,0,0,160,112,48,2,46,30,1,1,0,0,0,29,29,0,0,0,"Glenn County, California",06,021
0500000US06007,3372,1909,293,270,23,0,23,1616,1571,45,16,29,1463,385,377,8,0,8,1078,962,116,53,63,"Butte County, California",06,007
0500000US06031,9597,6721,935,928,7,0,7,5786,5606,180,89,91,2876,786,761,25,9,16,2090,1928,162,77,85,"Kings County, California",06,031
0500000US06063,160,21,0,0,0,0,0,21,20,1,0,1,139,22,22,0,0,0,117,117,0,0,0,"Plumas County, California",06,063
0500000US06079,5393,3815,262,262,0,0,0,3553,3297,256,102,154,1578,401,401,0,0,0,1177,1021,156,55,101,"San Luis Obispo County, California",06,079
0500000US06019,47715,24487,7508,7419,89,46,43,16979,16212,767,510,257,23228,6512,6489,23,16,7,16716,16016,700,540,160,"Fresno County, California",06,019
0500000US06029,48078,26212,7279,7263,16,0,16,18933,18091,842,607,235,21866,6663,6648,15,0,15,15203,14695,508,231,277,"Kern County, California",06,029
0500000US06059,53262,27527,5583,5364,219,75,144,21944,18830,3114,1876,1238,25735,5589,5314,275,53,222,20146,16324,3822,2229,1593,"Orange County, California",06,059
0500000US06111,14805,8235,1657,1614,43,43,0,6578,6075,503,287,216,6570,1314,1299,15,11,4,5256,4788,468,347,121,"Ventura County, California",06,111
0500000US06009,261,134,17,17,0,0,0,117,115,2,2,0,127,0,0,0,0,0,127,127,0,0,0,"Calaveras County, California",06,009
0500000US06101,1970,1057,254,254,0,0,0,803,706,97,34,63,913,157,157,0,0,0,756,653,103,21,82,"Sutter County, California",06,101
0500000US06081,18577,9449,1401,1257,144,16,128,8048,7201,847,406,441,9128,1545,1408,137,58,79,7583,6430,1153,814,339,"San Mateo County, California",06,081
0500000US06109,975,878,14,14,0,0,0,864,830,34,6,28,97,32,32,0,0,0,65,65,0,0,0,"Tuolumne County, California",06,109
0500000US06077,50433,24587,6589,6476,113,0,113,17998,17079,919,509,410,25846,6661,6635,26,4,22,19185,18347,838,464,374,"San Joaquin County, California",06,077
0500000US06005,796,765,20,20,0,0,0,745,720,25,0,25,31,0,0,0,0,0,31,31,0,0,0,"Amador County, California",06,005
