geography,total,total_male,total_male_under_18_years,total_male_under_18_years_native,total_male_under_18_years_foreign_born,total_male_under_18_years_foreign_born_naturalized_u.s._citizen,total_male_under_18_years_foreign_born_not_a_u.s._citizen,total_male_18_years_and_over,total_male_18_years_and_over_native,total_male_18_years_and_over_foreign_born,total_male_18_years_and_over_foreign_born_naturalized_u.s._citizen,total_male_18_years_and_over_foreign_born_not_a_u.s._citizen,total_female,total_female_under_18_years,total_female_under_18_years_native,total_female_under_18_years_foreign_born,total_female_under_18_years_foreign_born_naturalized_u.s._citizen,total_female_under_18_years_foreign_born_not_a_u.s._citizen,total_female_18_years_and_over,total_female_18_years_and_over_native,total_female_18_years_and_over_foreign_born,total_female_18_years_and_over_foreign_born_naturalized_u.s._citizen,total_female_18_years_and_over_foreign_born_not_a_u.s._citizen,name,state,county
0500000US06049,368,144,42,42,0,0,0,102,102,0,0,0,224,59,59,0,0,0,165,165,0,0,0,"Modoc County, California",06,049
0500000US06047,1826,819,173,165,8,0,8,646,574,72,37,35,1007,210,202,8,0,8,797,653,144,117,27,"Merced County, California",06,047
0500000US06033,2201,1051,352,352,0,0,0,699,699,0,0,0,1150,371,371,0,0,0,779,750,29,0,29,"Lake County, California",06,033
0500000US06043,467,195,56,56,0,0,0,139,139,0,0,0,272,58,58,0,0,0,214,214,0,0,0,"Mariposa County, California",06,043
0500000US06115,1033,527,142,128,14,14,0,385,378,7,0,7,506,75,75,0,0,0,431,403,28,0,28,"Yuba County, California",06,115
0500000US06013,5410,2625,650,637,13,13,0,1975,1680,295,158,137,2785,376,376,0,0,0,2409,2158,251,159,92,"Contra Costa County, California",06,013
0500000US06027,2093,952,283,283,0,0,0,669,662,7,7,0,1141,288,288,0,0,0,853,853,0,0,0,"Inyo County, California",06,027
0500000US06035,968,569,114,114,0,0,0,455,444,11,0,11,399,73,73,0,0,0,326,326,0,0,0,"Lassen County, California",06,035
0500000US06099,3789,1910,514,505,9,0,9,1396,1257,139,53,86,1879,337,326,11,0,11,1542,1393,149,69,80,"Stanislaus County, California",06,099
0500000US06083,3869,2052,501,485,16,6,10,1551,1386,165,84,81,1817,414,404,10,0,10,1403,1258,145,0,145,"Santa Barbara County, California",06,083
0500000US06097,5750,2860,774,695,79,0,79,2086,1583,503,168,335,2890,721,609,112,0,112,2169,1606,563,200,363,"Sonoma County, California",06,097
0500000US06103,1505,677,128,128,0,0,0,549,437,112,40,72,828,213,213,0,0,0,615,546,69,0,69,"Tehama County, California",06,103
0500000US06025,1979,1002,227,227,0,0,0,775,684,91,74,17,977,286,286,0,0,0,691,562,129,82,47,"Imperial County, California",06,025
0500000US06051,374,143,28,28,0,0,0,115,115,0,0,0,231,84,84,0,0,0,147,147,0,0,0,"Mono County, California",06,051
0500000US06069,426,178,23,23,0,0,0,155,131,24,19,5,248,37,37,0,0,0,211,149,62,19,43,"San Benito County, California",06,069
0500000US06001,10152,4745,900,817,83,14,69,3845,2927,918,347,571,5407,1220,1111,109,62,47,4187,3430,757,174,583,"Alameda County, California",06,001
0500000US06067,10384,4895,875,864,11,0,11,4020,3608,412,174,238,5489,937,927,10,0,10,4552,4164,388,141,247,"Sacramento County, California",06,067
0500000US06017,1347,753,252,252,0,0,0,501,451,50,0,50,594,83,64,19,19,0,511,481,30,23,7,"El Dorado County, California",06,017
0500000US06055,1236,725,180,180,0,0,0,545,428,117,82,35,511,193,185,8,8,0,318,204,114,51,63,"Napa County, California",06,055
0500000US06073,21064,10744,2236,2222,14,9,5,8508,7075,1433,671,762,10320,2468,2381,87,4,83,7852,6605,1247,547,700,"San Diego County, California",06,073
0500000US06053,2890,1619,405,405,0,0,0,1214,989,225,89,136,1271,318,315,3,3,0,953,824,129,59,70,"Monterey County, California",06,053
0500000US06075,3306,1717,251,251,0,0,0,1466,1128,338,161,177,1589,283,233,50,41,9,1306,1090,216,101,115,"San Francisco County, California",06,075
0500000US06091,28,22,0,0,0,0,0,22,22,0,0,0,6,0,0,0,0,0,6,6,0,0,0,"Sierra County, California",06,091
0500000US06107,5787,2956,959,952,7,0,7,1997,1746,251,91,160,2831,803,797,6,6,0,2028,1888,140,71,69,"Tulare County, California",06,107
0500000US06113,1333,739,168,168,0,0,0,571,540,31,18,13,594,79,79,0,0,0,515,391,124,87,37,"Yolo County, California",06,113
0500000US06023,7042,3231,1127,1127,0,0,0,2104,1990,114,31,83,3811,857,857,0,0,0,2954,2819,135,0,135,"Humboldt County, California",06,023
0500000US06057,930,479,54,54,0,0,0,425,425,0,0,0,451,38,38,0,0,0,413,413,0,0,0,"Nevada County, California",06,057
0500000US06003,263,119,25,25,0,0,0,94,94,0,0,0,144,47,47,0,0,0,97,97,0,0,0,"Alpine County, California",06,003
0500000US06039,2556,1121,276,276,0,0,0,845,801,44,25,19,1435,439,439,0,0,0,996,898,98,77,21,"Madera County, California",06,039
0500000US06045,3703,1733,556,530,26,0,26,1177,1076,101,14,87,1970,621,621,0,0,0,1349,1226,123,72,51,"Mendocino County, California",06,045
0500000US06087,1507,705,190,139,51,37,14,515,386,129,79,50,802,209,198,11,11,0,593,526,67,33,34,"Santa Cruz County, California",06,087
0500000US06105,559,237,10,10,0,0,0,227,227,0,0,0,322,73,73,0,0,0,249,249,0,0,0,"Trinity County, California",06,105
