geography,total,total_male,total_male_under_18_years,total_male_under_18_years_native,total_male_under_18_years_foreign_born,total_male_under_18_years_foreign_born_naturalized_u.s._citizen,total_male_under_18_years_foreign_born_not_a_u.s._citizen,total_male_18_years_and_over,total_male_18_years_and_over_native,total_male_18_years_and_over_foreign_born,total_male_18_years_and_over_foreign_born_naturalized_u.s._citizen,total_male_18_years_and_over_foreign_born_not_a_u.s._citizen,total_female,total_female_under_18_years,total_female_under_18_years_native,total_female_under_18_years_foreign_born,total_female_under_18_years_foreign_born_naturalized_u.s._citizen,total_female_under_18_years_foreign_born_not_a_u.s._citizen,total_female_18_years_and_over,total_female_18_years_and_over_native,total_female_18_years_and_over_foreign_born,total_female_18_years_and_over_foreign_born_naturalized_u.s._citizen,total_female_18_years_and_over_foreign_born_not_a_u.s._citizen,name,state,county
0500000US06049,105,61,8,8,0,0,0,53,9,44,27,17,44,7,7,0,0,0,37,7,30,0,30,"Modoc County, California",06,049
0500000US06047,20224,10005,2716,2394,322,196,126,7289,2504,4785,3372,1413,10219,2582,2317,265,184,81,7637,2221,5416,3713,1703,"Merced County, California",06,047
0500000US06033,953,318,10,10,0,0,0,308,216,92,58,34,635,165,155,10,0,10,470,218,252,221,31,"Lake County, California",06,033
0500000US06043,168,119,7,7,0,0,0,112,15,97,37,60,49,0,0,0,0,0,49,1,48,37,11,"Mariposa County, California",06,043
0500000US06115,4823,2403,827,822,5,5,0,1576,663,913,711,202,2420,623,617,6,0,6,1797,586,1211,885,326,"Yuba County, California",06,115
0500000US06013,180072,85302,19499,16629,2870,1045,1825,65803,18729,47074,32017,15057,94770,17294,14880,2414,964,1450,77476,18770,58706,40135,18571,"Contra Costa County, California",06,013
0500000US06027,272,187,7,7,0,0,0,180,37,143,97,46,85,5,5,0,0,0,80,12,68,56,12,"Inyo County, California",06,027
0500000US06035,463,365,11,7,4,0,4,354,157,197,37,160,98,8,4,4,4,0,90,23,67,44,23,"Lassen County, California",06,035
0500000US06099,29488,14017,3454,2951,503,242,261,10563,3215,7348,4786,2562,15471,3397,3023,374,179,195,12074,3078,8996,6493,2503,"Stanislaus County, California",06,099
0500000US06083,23927,11552,1696,1321,375,24,351,9856,4499,5357,2637,2720,12375,1555,1155,400,56,344,10820,3627,7193,4183,3010,"Santa Barbara County, California",06,083
0500000US06097,19605,8569,1451,1228,223,104,119,7118,2313,4805,3544,1261,11036,1441,1152,289,151,138,9595,2498,7097,4812,2285,"Sonoma County, California",06,097
0500000US06103,907,434,150,121,29,9,20,284,104,180,153,27,473,104,104,0,0,0,369,29,340,273,67,"Tehama County, California",06,103
0500000US06025,2584,1326,270,197,73,15,58,1056,305,751,341,410,1258,259,188,71,18,53,999,233,766,359,407,"Imperial County, California",06,025
0500000US06051,280,180,16,16,0,0,0,164,4,160,3,157,100,0,0,0,0,0,100,3,97,17,80,"Mono County, California",06,051
0500000US06069,1649,750,183,147,36,27,9,567,157,410,283,127,899,187,162,25,16,9,712,138,574,365,209,"San Benito County, California",06,069
0500000US06001,471335,225179,46803,39265,7538,2266,5272,178376,43739,134637,82461,52176,246156,44724,37690,7034,2226,4808,201432,43833,157599,99932,57667,"Alameda County, California",06,001
0500000US06067,229441,110196,27184,23820,3364,1450,1914,83012,28018,54994,38238,16756,119245,25170,21832,3338,1161,2177,94075,26304,67771,47788,19983,"Sacramento County, California",06,067
0500000US06017,7864,3583,788,644,144,55,89,2795,1077,1718,1109,609,4281,898,800,98,98,0,3383,939,2444,1602,842,"El Dorado County, California",06,017
0500000US06055,11150,5199,1122,950,172,85,87,4077,1399,2678,1813,865,5951,1176,997,179,44,135,4775,1347,3428,2445,983,"Napa County, California",06,055
0500000US06073,384154,179597,35999,30996,5003,1480,3523,143598,41889,101709,67187,34522,204557,34229,29244,4985,1732,3253,170328,42866,127462,85413,42049,"San Diego County, California",06,073
0500000US06053,24867,11609,2087,1870,217,121,96,9522,3147,6375,3932,2443,13258,1680,1262,418,142,276,11578,3031,8547,5697,2850,"Monterey County, California",06,053
0500000US06075,295347,136585,17868,15299,2569,1073,1496,118717,38755,79962,56480,23482,158762,17201,14807,2394,829,1565,141561,39855,101706,74287,27419,"San Francisco County, California",06,075
0500000US06091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sierra County, California",06,091
0500000US06107,16081,7767,2314,2016,298,163,135,5453,1819,3634,2199,1435,8314,1927,1723,204,57,147,6387,1763,4624,2958,1666,"Tulare County, California",06,107
0500000US06113,29138,13899,1863,1463,400,101,299,12036,5163,6873,3337,3536,15239,1788,1426,362,86,276,13451,5615,7836,3982,3854,"Yolo County, California",06,113
0500000US06023,3926,1838,584,531,53,33,20,1254,446,808,496,312,2088,588,501,87,76,11,1500,734,766,485,281,"Humboldt County, California",06,023
0500000US06057,1123,437,57,24,33,16,17,380,188,192,94,98,686,68,30,38,25,13,618,319,299,191,108,"Nevada County, California",06,057
0500000US06003,8,7,1,0,1,1,0,6,2,4,0,4,1,0,0,0,0,0,1,0,1,1,0,"Alpine County, California",06,003
0500000US06039,3303,1723,447,364,83,83,0,1276,319,957,667,290,1580,306,243,63,63,0,1274,387,887,682,205,"Madera County, California",06,039
0500000US06045,1509,581,100,99,1,0,1,481,157,324,198,126,928,103,51,52,10,42,825,226,599,395,204,"Mendocino County, California",06,045
0500000US06087,12547,5681,458,335,123,31,92,5223,2517,2706,1373,1333,6866,609,336,273,180,93,6257,2852,3405,1976,1429,"Santa Cruz County, California",06,087
0500000US06105,161,70,14,14,0,0,0,56,35,21,21,0,91,0,0,0,0,0,91,9,82,82,0,"Trinity County, California",06,105
0500000US06037,1460508,682222,120853,101886,18967,5320,13647,561369,148633,412736,273496,139240,778286,112626,94906,17720,5999,11721,665660,145095,520565,347741,172824,"Los Angeles County, California",06,037
0500000US06065,148213,68668,14504,12329,2175,793,1382,54164,14887,39277,27804,11473,79545,14656,12232,2424,846,1578,64889,15677,49212,33449,15763,"Riverside County, California",06,065
0500000US06071,146650,69126,15659,13650,2009,463,1546,53467,13361,40106,27405,12701,77524,15293,13484,1809,369,1440,62231,12165,50066,33157,16909,"San Bernardino County, California",06,071
0500000US06085,671511,331549,71671,60391,11280,3224,8056,259878,54013,205865,122165,83700,339962,67594,56551,11043,3007,8036,272368,47557,224811,141837,82974,"Santa Clara County, California",06,085
0500000US06041,14912,6080,918,733,185,55,130,5162,1775,3387,2212,1175,8832,976,753,223,142,81,7856,2594,5262,3343,1919,"Marin County, California",06,041
0500000US06061,25999,11763,3038,2601,437,292,145,8725,2622,6103,4584,1519,14236,2836,2456,380,220,160,11400,3480,7920,5684,2236,"Placer County, California",06,061
0500000US06093,687,390,156,135,21,7,14,234,111,123,93,30,297,53,19,34,34,0,244,80,164,138,26,"Siskiyou County, California",06,093
0500000US06089,5310,2461,493,442,51,21,30,1968,522,1446,615,831,2849,767,679,88,31,57,2082,841,1241,770,471,"Shasta County, California",06,089
0500000US06095,66432,30322,6290,5451,839,423,416,24032,8053,15979,12191,3788,36110,5807,5129,678,316,362,30303,7226,23077,17582,5495,"Solano County, California",06,095
0500000US06015,776,300,97,97,0,0,0,203,97,106,73,33,476,96,94,2,0,2,380,124,256,192,64,"Del Norte County, California",06,015
0500000US06011,328,235,15,15,0,0,0,220,57,163,144,19,93,0,0,0,0,0,93,14,79,42,37,"Colusa County, California",06,011
0500000US06021,729,375,151,150,1,1,0,224,2,222,118,104,354,58,58,0,0,0,296,10,286,150,136,"Glenn County, California",06,021
0500000US06007,10174,4920,1360,1211,149,34,115,3560,1487,2073,1474,599,5254,1252,1154,98,30,68,4002,1328,2674,1906,768,"Butte County, California",06,007
0500000US06031,5694,2700,584,456,128,55,73,2116,742,1374,1032,342,2994,546,420,126,41,85,2448,590,1858,1301,557,"Kings County, California",06,031
0500000US06063,148,92,0,0,0,0,0,92,66,26,16,10,56,0,0,0,0,0,56,7,49,29,20,"Plumas County, California",06,063
0500000US06079,10276,4871,546,478,68,48,20,4325,2625,1700,1114,586,5405,768,617,151,78,73,4637,2199,2438,1733,705,"San Luis Obispo County, California",06,079
0500000US06019,97966,47936,13857,12078,1779,817,962,34079,12246,21833,13946,7887,50030,13342,11912,1430,678,752,36688,12235,24453,16365,8088,"Fresno County, California",06,019
0500000US06029,41263,20202,5351,3995,1356,452,904,14851,3969,10882,6743,4139,21061,4516,3727,789,323,466,16545,3387,13158,8536,4622,"Kern County, California",06,029
0500000US06059,621178,294119,60494,52156,8338,2636,5702,233625,60751,172874,125657,47217,327059,58176,49841,8335,2760,5575,268883,59495,209388,149770,59618,"Orange County, California",06,059
0500000US06111,60986,27459,5430,4669,761,197,564,22029,6068,15961,10743,5218,33527,5807,4945,862,281,581,27720,5890,21830,14957,6873,"Ventura County, California",06,111
0500000US06009,527,221,19,19,0,0,0,202,141,61,9,52,306,23,12,11,11,0,283,55,228,132,96,"Calaveras County, California",06,009
0500000US06101,14565,7225,1647,1481,166,96,70,5578,1330,4248,2731,1517,7340,1406,1213,193,107,86,5934,1196,4738,3194,1544,"Sutter County, California",06,101
0500000US06081,210816,98730,19176,16838,2338,963,1375,79554,24466,55088,37025,18063,112086,17701,15794,1907,745,1162,94385,24758,69627,47980,21647,"San Mateo County, California",06,081
0500000US06109,609,270,47,47,0,0,0,223,79,144,42,102,339,88,84,4,0,4,251,24,227,137,90,"Tuolumne County, California",06,109
0500000US06077,109359,52162,13999,11968,2031,923,1108,38163,11397,26766,18471,8295,57197,13565,11613,1952,691,1261,43632,11691,31941,21586,10355,"San Joaquin County, California",06,077
0500000US06005,582,332,64,41,23,0,23,268,89,179,117,62,250,24,17,7,0,7,226,28,198,100,98,"Amador County, California",06,005
