geography,total,total_male,total_male_under_18_years,total_male_under_18_years_native,total_male_under_18_years_foreign_born,total_male_under_18_years_foreign_born_naturalized_u.s._citizen,total_male_under_18_years_foreign_born_not_a_u.s._citizen,total_male_18_years_and_over,total_male_18_years_and_over_native,total_male_18_years_and_over_foreign_born,total_male_18_years_and_over_foreign_born_naturalized_u.s._citizen,total_male_18_years_and_over_foreign_born_not_a_u.s._citizen,total_female,total_female_under_18_years,total_female_under_18_years_native,total_female_under_18_years_foreign_born,total_female_under_18_years_foreign_born_naturalized_u.s._citizen,total_female_under_18_years_foreign_born_not_a_u.s._citizen,total_female_18_years_and_over,total_female_18_years_and_over_native,total_female_18_years_and_over_foreign_born,total_female_18_years_and_over_foreign_born_naturalized_u.s._citizen,total_female_18_years_and_over_foreign_born_not_a_u.s._citizen,name,state,county
0500000US06049,8,8,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Modoc County, California",06,049
0500000US06047,456,314,60,60,0,0,0,254,179,75,75,0,142,11,11,0,0,0,131,114,17,0,17,"Merced County, California",06,047
0500000US06033,33,33,0,0,0,0,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lake County, California",06,033
0500000US06043,56,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,56,32,24,0,24,"Mariposa County, California",06,043
0500000US06115,300,181,25,25,0,0,0,156,116,40,8,32,119,38,38,0,0,0,81,57,24,0,24,"Yuba County, California",06,115
0500000US06013,5542,2853,805,726,79,10,69,2048,1318,730,362,368,2689,672,622,50,33,17,2017,1161,856,638,218,"Contra Costa County, California",06,013
0500000US06027,34,23,5,5,0,0,0,18,18,0,0,0,11,4,4,0,0,0,7,7,0,0,0,"Inyo County, California",06,027
0500000US06035,219,116,30,30,0,0,0,86,34,52,0,52,103,26,26,0,0,0,77,24,53,6,47,"Lassen County, California",06,035
0500000US06099,3670,1946,345,335,10,0,10,1601,759,842,532,310,1724,313,313,0,0,0,1411,596,815,590,225,"Stanislaus County, California",06,099
0500000US06083,732,356,30,30,0,0,0,326,314,12,5,7,376,23,23,0,0,0,353,261,92,63,29,"Santa Barbara County, California",06,083
0500000US06097,1677,848,112,74,38,0,38,736,388,348,201,147,829,90,79,11,0,11,739,293,446,139,307,"Sonoma County, California",06,097
0500000US06103,27,18,3,3,0,0,0,15,15,0,0,0,9,3,3,0,0,0,6,6,0,0,0,"Tehama County, California",06,103
0500000US06025,261,149,15,15,0,0,0,134,115,19,9,10,112,0,0,0,0,0,112,77,35,9,26,"Imperial County, California",06,025
0500000US06051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mono County, California",06,051
0500000US06069,124,67,25,25,0,0,0,42,29,13,13,0,57,25,25,0,0,0,32,32,0,0,0,"San Benito County, California",06,069
0500000US06001,13652,6545,1390,1279,111,53,58,5155,3757,1398,933,465,7107,1390,1218,172,90,82,5717,3713,2004,1201,803,"Alameda County, California",06,001
0500000US06067,16019,7564,1874,1777,97,0,97,5690,2456,3234,1901,1333,8455,1855,1693,162,15,147,6600,2356,4244,2304,1940,"Sacramento County, California",06,067
0500000US06017,333,81,45,45,0,0,0,36,0,36,36,0,252,40,40,0,0,0,212,50,162,108,54,"El Dorado County, California",06,017
0500000US06055,297,106,14,14,0,0,0,92,67,25,25,0,191,28,28,0,0,0,163,141,22,22,0,"Napa County, California",06,055
0500000US06073,14182,7043,1163,1153,10,10,0,5880,5051,829,500,329,7139,1539,1478,61,0,61,5600,4840,760,383,377,"San Diego County, California",06,073
0500000US06053,2038,1015,163,163,0,0,0,852,525,327,158,169,1023,168,168,0,0,0,855,453,402,263,139,"Monterey County, California",06,053
0500000US06075,3226,1650,509,509,0,0,0,1141,913,228,132,96,1576,163,138,25,25,0,1413,1102,311,159,152,"San Francisco County, California",06,075
0500000US06091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sierra County, California",06,091
0500000US06107,629,364,28,28,0,0,0,336,227,109,68,41,265,77,77,0,0,0,188,157,31,14,17,"Tulare County, California",06,107
0500000US06113,911,486,94,94,0,0,0,392,268,124,104,20,425,45,45,0,0,0,380,190,190,114,76,"Yolo County, California",06,113
0500000US06023,418,235,6,6,0,0,0,229,211,18,18,0,183,6,6,0,0,0,177,177,0,0,0,"Humboldt County, California",06,023
0500000US06057,99,49,0,0,0,0,0,49,22,27,0,27,50,0,0,0,0,0,50,27,23,0,23,"Nevada County, California",06,057
