total_female_18_years_and_over_foreign_born_naturalized_u.s._citizen,total_female_18_years_and_over_foreign_born_not_a_u.s._citizen,geography,total,total_male,total_male_under_18_years,total_male_under_18_years_native,total_male_under_18_years_foreign_born,total_male_under_18_years_foreign_born_naturalized_u.s._citizen,total_male_under_18_years_foreign_born_not_a_u.s._citizen,total_male_18_years_and_over,total_male_18_years_and_over_native,total_male_18_years_and_over_foreign_born,total_male_18_years_and_over_foreign_born_naturalized_u.s._citizen,total_male_18_years_and_over_foreign_born_not_a_u.s._citizen,total_female,total_female_under_18_years,total_female_under_18_years_native,total_female_under_18_years_foreign_born,total_female_under_18_years_foreign_born_naturalized_u.s._citizen,total_female_under_18_years_foreign_born_not_a_u.s._citizen,total_female_18_years_and_over,total_female_18_years_and_over_native,total_female_18_years_and_over_foreign_born,name,state,county
0,0,0500000US06049,196,86,43,43,0,0,0,43,43,0,0,0,110,19,19,0,0,0,91,91,0,"Modoc County, California",06,049
196,281,0500000US06047,12148,6019,2982,2959,23,15,8,3037,2746,291,193,98,6129,3158,3098,60,0,60,2971,2494,477,"Merced County, California",06,047
22,0,0500000US06033,1623,739,213,213,0,0,0,526,490,36,20,16,884,239,239,0,0,0,645,623,22,"Lake County, California",06,033
34,0,0500000US06043,728,231,69,69,0,0,0,162,130,32,0,32,497,99,99,0,0,0,398,364,34,"Mariposa County, California",06,043
69,35,0500000US06115,6134,3507,1892,1874,18,0,18,1615,1464,151,114,37,2627,1110,1110,0,0,0,1517,1413,104,"Yuba County, California",06,115
2567,1176,0500000US06013,74864,36098,16139,15837,302,130,172,19959,16260,3699,2459,1240,38766,17417,17056,361,173,188,21349,17606,3743,"Contra Costa County, California",06,013
1,5,0500000US06027,528,232,100,100,0,0,0,132,124,8,0,8,296,162,162,0,0,0,134,128,6,"Inyo County, California",06,027
0,0,0500000US06035,592,370,61,61,0,0,0,309,228,81,1,80,222,78,78,0,0,0,144,144,0,"Lassen County, California",06,035
526,359,0500000US06099,22989,11677,5697,5582,115,39,76,5980,5194,786,554,232,11312,5253,5171,82,44,38,6059,5174,885,"Stanislaus County, California",06,099
365,275,0500000US06083,19425,9234,3320,3290,30,0,30,5914,5170,744,304,440,10191,4047,4026,21,11,10,6144,5504,640,"Santa Barbara County, California",06,083
466,418,0500000US06097,26561,13042,5839,5804,35,0,35,7203,6162,1041,637,404,13519,5352,5335,17,0,17,8167,7283,884,"Sonoma County, California",06,097
35,0,0500000US06103,2553,1343,589,589,0,0,0,754,720,34,7,27,1210,606,605,1,1,0,604,569,35,"Tehama County, California",06,103
277,422,0500000US06025,8319,3964,1861,1729,132,43,89,2103,1668,435,258,177,4355,2170,2083,87,18,69,2185,1486,699,"Imperial County, California",06,025
0,0,0500000US06051,403,194,151,151,0,0,0,43,43,0,0,0,209,71,71,0,0,0,138,138,0,"Mono County, California",06,051
104,116,0500000US06069,2713,1212,522,522,0,0,0,690,509,181,50,131,1501,713,713,0,0,0,788,568,220,"San Benito County, California",06,069
4227,2535,0500000US06001,104062,51500,23297,22981,316,125,191,28203,21773,6430,3938,2492,52562,22023,21664,359,100,259,30539,23777,6762,"Alameda County, California",06,001
3064,1799,0500000US06067,105395,51070,24756,24009,747,272,475,26314,21766,4548,2570,1978,54325,24742,24072,670,197,473,29583,24720,4863,"Sacramento County, California",06,067
101,183,0500000US06017,6775,3240,1319,1319,0,0,0,1921,1767,154,132,22,3535,1251,1239,12,0,12,2284,2000,284,"El Dorado County, California",06,017
110,36,0500000US06055,5333,2718,1100,1080,20,20,0,1618,1412,206,189,17,2615,1091,1084,7,0,7,1524,1378,146,"Napa County, California",06,055
5128,2825,0500000US06073,166620,84866,38542,37831,711,270,441,46324,38670,7654,4700,2954,81754,36190,35721,469,106,363,45564,37611,7953,"San Diego County, California",06,073
430,397,0500000US06053,17807,8860,3457,3434,23,0,23,5403,4671,732,354,378,8947,3616,3557,59,11,48,5331,4504,827,"Monterey County, California",06,053
1264,951,0500000US06075,43664,22554,8089,7919,170,98,72,14465,11955,2510,1461,1049,21110,7234,7179,55,14,41,13876,11661,2215,"San Francisco County, California",06,075
13,0,0500000US06091,55,28,26,26,0,0,0,2,2,0,0,0,27,0,0,0,0,0,27,14,13,"Sierra County, California",06,091
401,300,0500000US06107,14405,7248,3368,3211,157,6,151,3880,3220,660,312,348,7157,3367,3322,45,18,27,3790,3089,701,"Tulare County, California",06,107
396,418,0500000US06113,13244,6262,2823,2583,240,37,203,3439,2795,644,336,308,6982,2593,2374,219,22,197,4389,3575,814,"Yolo County, California",06,113
54,2,0500000US06023,7831,3881,1249,1245,4,0,4,2632,2595,37,17,20,3950,1608,1606,2,0,2,2342,2286,56,"Humboldt County, California",06,023
43,35,0500000US06057,3265,1662,640,640,0,0,0,1022,962,60,46,14,1603,536,536,0,0,0,1067,989,78,"Nevada County, California",06,057
0,1,0500000US06003,80,55,19,19,0,0,0,36,36,0,0,0,25,6,6,0,0,0,19,18,1,"Alpine County, California",06,003
59,134,0500000US06039,4948,2321,1064,1035,29,17,12,1257,1084,173,79,94,2627,797,755,42,0,42,1830,1637,193,"Madera County, California",06,039
