geography,total,total_male,total_male_under_18_years,total_male_under_18_years_native,total_male_under_18_years_foreign_born,total_male_under_18_years_foreign_born_naturalized_u.s._citizen,total_male_under_18_years_foreign_born_not_a_u.s._citizen,total_male_18_years_and_over,total_male_18_years_and_over_native,total_male_18_years_and_over_foreign_born,total_male_18_years_and_over_foreign_born_naturalized_u.s._citizen,total_male_18_years_and_over_foreign_born_not_a_u.s._citizen,total_female,total_female_under_18_years,total_female_under_18_years_native,total_female_under_18_years_foreign_born,total_female_under_18_years_foreign_born_naturalized_u.s._citizen,total_female_under_18_years_foreign_born_not_a_u.s._citizen,total_female_18_years_and_over,total_female_18_years_and_over_native,total_female_18_years_and_over_foreign_born,total_female_18_years_and_over_foreign_born_naturalized_u.s._citizen,total_female_18_years_and_over_foreign_born_not_a_u.s._citizen,name,state,county
0500000US06049,7035,3567,655,655,0,0,0,2912,2855,57,0,57,3468,544,544,0,0,0,2924,2874,50,29,21,"Modoc County, California",06,049
0500000US06047,77092,37919,7539,7478,61,9,52,30380,28077,2303,1459,844,39173,7152,7111,41,27,14,32021,29339,2682,1746,936,"Merced County, California",06,047
0500000US06033,45957,22658,3662,3662,0,0,0,18996,18332,664,482,182,23299,3517,3517,0,0,0,19782,19167,615,356,259,"Lake County, California",06,033
0500000US06043,14309,7306,1146,1136,10,0,10,6160,5980,180,87,93,7003,929,929,0,0,0,6074,5788,286,156,130,"Mariposa County, California",06,043
0500000US06115,42018,21133,4725,4725,0,0,0,16408,15783,625,419,206,20885,4466,4466,0,0,0,16419,15939,480,318,162,"Yuba County, California",06,115
0500000US06013,504818,247978,44587,43321,1266,321,945,203391,183878,19513,12289,7224,256840,43273,42037,1236,372,864,213567,191197,22370,15258,7112,"Contra Costa County, California",06,013
0500000US06027,11557,5831,845,845,0,0,0,4986,4913,73,47,26,5726,741,741,0,0,0,4985,4811,174,115,59,"Inyo County, California",06,027
0500000US06035,20812,11817,1944,1944,0,0,0,9873,9720,153,91,62,8995,1793,1793,0,0,0,7202,7079,123,109,14,"Lassen County, California",06,035
0500000US06099,232230,112664,22932,22498,434,67,367,89732,83042,6690,4663,2027,119566,21446,21083,363,53,310,98120,90393,7727,5559,2168,"Stanislaus County, California",06,099
0500000US06083,200723,98579,13766,13554,212,6,206,84813,78915,5898,3111,2787,102144,12898,12706,192,29,163,89246,82458,6788,4058,2730,"Santa Barbara County, California",06,083
0500000US06097,319805,153756,23382,23194,188,49,139,130374,123778,6596,3878,2718,166049,21981,21826,155,39,116,144068,136113,7955,5388,2567,"Sonoma County, California",06,097
0500000US06103,43779,21465,4222,4213,9,0,9,17243,17022,221,172,49,22314,4034,4034,0,0,0,18280,18030,250,200,50,"Tehama County, California",06,103
0500000US06025,20372,11110,1715,1715,0,0,0,9395,8979,416,292,124,9262,1635,1635,0,0,0,7627,7216,411,235,176,"Imperial County, California",06,025
0500000US06051,9288,5057,680,680,0,0,0,4377,4264,113,96,17,4231,495,495,0,0,0,3736,3326,410,114,296,"Mono County, California",06,051
0500000US06069,20872,10377,1892,1892,0,0,0,8485,7923,562,307,255,10495,1732,1732,0,0,0,8763,8251,512,369,143,"San Benito County, California",06,069
0500000US06001,524881,261404,39016,38019,997,199,798,222388,196727,25661,15118,10543,263477,36846,35729,1117,268,849,226631,201650,24981,16159,8822,"Alameda County, California",06,001
0500000US06067,684141,332346,61878,59105,2773,771,2002,270468,243113,27355,17658,9697,351795,59467,56524,2943,836,2107,292328,260582,31746,21207,10539,"Sacramento County, California",06,067
0500000US06017,145153,72566,13320,13295,25,25,0,59246,56590,2656,1816,840,72587,12663,12588,75,15,60,59924,56571,3353,2325,1028,"El Dorado County, California",06,017
0500000US06055,75010,36722,5440,5368,72,0,72,31282,29439,1843,1163,680,38288,5039,5007,32,0,32,33249,31294,1955,1330,625,"Napa County, California",06,055
0500000US06073,1517153,777277,124449,119487,4962,1137,3825,652828,591047,61781,35653,26128,739876,117011,113043,3968,820,3148,622865,557251,65614,40738,24876,"San Diego County, California",06,073
0500000US06053,132600,65953,9425,9239,186,15,171,56528,52936,3592,2361,1231,66647,8942,8770,172,83,89,57705,52769,4936,3203,1733,"Monterey County, California",06,053
