geography,total,total_male,total_male_under_18_years,total_male_under_18_years_native,total_male_under_18_years_foreign_born,total_male_under_18_years_foreign_born_naturalized_u.s._citizen,total_male_under_18_years_foreign_born_not_a_u.s._citizen,total_male_18_years_and_over,total_male_18_years_and_over_native,total_male_18_years_and_over_foreign_born,total_male_18_years_and_over_foreign_born_naturalized_u.s._citizen,total_male_18_years_and_over_foreign_born_not_a_u.s._citizen,total_female,total_female_under_18_years,total_female_under_18_years_native,total_female_under_18_years_foreign_born,total_female_under_18_years_foreign_born_naturalized_u.s._citizen,total_female_under_18_years_foreign_born_not_a_u.s._citizen,total_female_18_years_and_over,total_female_18_years_and_over_native,total_female_18_years_and_over_foreign_born,total_female_18_years_and_over_foreign_born_naturalized_u.s._citizen,total_female_18_years_and_over_foreign_born_not_a_u.s._citizen,name,state,county
0500000US06049,1317,779,238,208,30,0,30,541,237,304,54,250,538,174,167,7,0,7,364,245,119,18,101,"Modoc County, California",06,049
0500000US06047,155650,79312,28508,27356,1152,96,1056,50804,25305,25499,7747,17752,76338,27395,26112,1283,249,1034,48943,25088,23855,7583,16272,"Merced County, California",06,047
0500000US06033,12445,6438,2294,2229,65,0,65,4144,2053,2091,582,1509,6007,2183,2042,141,35,106,3824,2186,1638,854,784,"Lake County, California",06,033
0500000US06043,1870,942,248,248,0,0,0,694,475,219,102,117,928,295,275,20,0,20,633,455,178,49,129,"Mariposa County, California",06,043
0500000US06115,20479,10460,3963,3821,142,14,128,6497,3890,2607,845,1762,10019,3769,3658,111,0,111,6250,3545,2705,993,1712,"Yuba County, California",06,115
0500000US06013,284003,142406,46312,43337,2975,511,2464,96094,44504,51590,16995,34595,141597,44652,41735,2917,414,2503,96945,46826,50119,19272,30847,"Contra Costa County, California",06,013
0500000US06027,3894,1996,741,721,20,0,20,1255,629,626,257,369,1898,703,661,42,18,24,1195,658,537,195,342,"Inyo County, California",06,027
0500000US06035,5829,5171,469,466,3,0,3,4702,3688,1014,143,871,658,407,406,1,1,0,251,162,89,47,42,"Lassen County, California",06,035
0500000US06099,240816,121417,43147,41252,1895,96,1799,78270,41763,36507,11796,24711,119399,42037,40479,1558,103,1455,77362,42928,34434,11412,23022,"Stanislaus County, California",06,099
0500000US06083,198556,101492,32881,30950,1931,182,1749,68611,31195,37416,10155,27261,97064,31845,30175,1670,103,1567,65219,32027,33192,9425,23767,"Santa Barbara County, California",06,083
0500000US06097,132018,67964,22229,20911,1318,123,1195,45735,19123,26612,8311,18301,64054,21670,20001,1669,194,1475,42384,19763,22621,7281,15340,"Sonoma County, California",06,097
0500000US06103,15316,7908,2889,2880,9,3,6,5019,2460,2559,1151,1408,7408,2783,2661,122,3,119,4625,2606,2019,958,1061,"Tehama County, California",06,103
0500000US06025,150108,74654,23807,22308,1499,526,973,50847,26965,23882,11511,12371,75454,22858,21501,1357,476,881,52596,24953,27643,13526,14117,"Imperial County, California",06,025
0500000US06051,3815,1898,554,533,21,0,21,1344,586,758,131,627,1917,761,761,0,0,0,1156,272,884,32,852,"Mono County, California",06,051
0500000US06069,34561,17404,5578,5428,150,31,119,11826,7118,4708,1763,2945,17157,5556,5294,262,81,181,11601,6902,4699,1719,2980,"San Benito County, California",06,069
0500000US06001,367041,185991,56343,53148,3195,337,2858,129648,63093,66555,19865,46690,181050,54006,50467,3539,379,3160,127044,65948,61096,20155,40941,"Alameda County, California",06,001
0500000US06067,340656,170982,58571,55903,2668,326,2342,112411,68098,44313,15675,28638,169674,56457,54120,2337,275,2062,113217,71652,41565,16644,24921,"Sacramento County, California",06,067
0500000US06017,23279,11794,3916,3798,118,41,77,7878,5028,2850,982,1868,11485,3716,3638,78,47,31,7769,4999,2770,809,1961,"El Dorado County, California",06,017
0500000US06055,47547,24565,7977,7437,540,86,454,16588,6620,9968,3429,6539,22982,7581,6990,591,50,541,15401,6499,8902,3274,5628,"Napa County, California",06,055
0500000US06073,1095458,543225,169885,162200,7685,1538,6147,373340,206705,166635,65412,101223,552233,164259,156598,7661,1630,6031,387974,197794,190180,79921,110259,"San Diego County, California",06,073
0500000US06053,250913,129693,43980,41162,2818,186,2632,85713,34695,51018,9357,41661,121220,42167,39375,2792,231,2561,79053,33338,45715,9353,36362,"Monterey County, California",06,053
0500000US06075,131949,69303,13667,12833,834,281,553,55636,27714,27922,11274,16648,62646,13159,12161,998,222,776,49487,25757,23730,10992,12738,"San Francisco County, California",06,075
0500000US06091,290,171,18,18,0,0,0,153,112,41,1,40,119,53,53,0,0,0,66,46,20,20,0,"Sierra County, California",06,091
