geography,total,total_male,total_male_under_18_years,total_male_under_18_years_native,total_male_under_18_years_foreign_born,total_male_under_18_years_foreign_born_naturalized_u.s._citizen,total_male_under_18_years_foreign_born_not_a_u.s._citizen,total_male_18_years_and_over,total_male_18_years_and_over_native,total_male_18_years_and_over_foreign_born,total_male_18_years_and_over_foreign_born_naturalized_u.s._citizen,total_male_18_years_and_over_foreign_born_not_a_u.s._citizen,total_female,total_female_under_18_years,total_female_under_18_years_native,total_female_under_18_years_foreign_born,total_female_under_18_years_foreign_born_naturalized_u.s._citizen,total_female_under_18_years_foreign_born_not_a_u.s._citizen,total_female_18_years_and_over,total_female_18_years_and_over_native,total_female_18_years_and_over_foreign_born,total_female_18_years_and_over_foreign_born_naturalized_u.s._citizen,total_female_18_years_and_over_foreign_born_not_a_u.s._citizen,name,state,county
0500000US06049,9017,4659,965,935,30,0,30,3694,3289,405,81,324,4358,793,786,7,0,7,3565,3366,199,47,152,"Modoc County, California",06,049
0500000US06047,267390,135045,40933,39378,1555,312,1243,94112,61238,32874,12842,20032,132345,38931,37371,1560,460,1100,93414,61199,32215,13175,19040,"Merced County, California",06,047
0500000US06033,64095,31788,6635,6570,65,0,65,25153,22291,2862,1136,1726,32307,6493,6342,151,35,116,25814,23287,2527,1431,1096,"Lake County, California",06,033
0500000US06043,17658,8863,1526,1516,10,0,10,7337,6781,556,248,308,8795,1376,1356,20,0,20,7419,6797,622,303,319,"Mariposa County, California",06,043
0500000US06115,74644,38081,10883,10736,147,19,128,27198,22901,4297,2062,2235,36563,9782,9665,117,0,117,26781,22255,4526,2264,2262,"Yuba County, California",06,115
0500000US06013,1123678,548675,133267,125456,7811,2034,5777,415408,290823,124585,65351,59234,575003,128236,121040,7196,1927,5269,446767,308763,138004,78910,59094,"Contra Costa County, California",06,013
0500000US06027,18195,9172,1900,1880,20,0,20,7272,6419,853,404,449,9023,1808,1766,42,18,24,7215,6419,796,378,418,"Inyo County, California",06,027
0500000US06035,31470,20786,2635,2628,7,0,7,18151,16681,1470,285,1185,10684,2390,2383,7,5,2,8294,7933,361,222,139,"Lassen County, California",06,035
0500000US06099,535684,264824,74593,71641,2952,444,2508,190231,137871,52360,22496,29864,270860,71742,69355,2387,379,2008,199118,146088,53030,24840,28190,"Stanislaus County, California",06,099
0500000US06083,442996,221955,50598,48071,2527,212,2315,171357,122211,49146,16141,33005,221041,48688,46382,2306,207,2099,172353,124570,47783,18087,29696,"Santa Barbara County, California",06,083
