geography,total,total_entered_2010_or_later,total_entered_2010_or_later_native,total_entered_2010_or_later_foreign_born,total_entered_2010_or_later_foreign_born_naturalized_u.s._citizen,total_entered_2010_or_later_foreign_born_not_a_u.s._citizen,total_entered_2000_to_2009,total_entered_2000_to_2009_native,total_entered_2000_to_2009_foreign_born,total_entered_2000_to_2009_foreign_born_naturalized_u.s._citizen,total_entered_2000_to_2009_foreign_born_not_a_u.s._citizen,total_entered_1990_to_1999,total_entered_1990_to_1999_native,total_entered_1990_to_1999_foreign_born,total_entered_1990_to_1999_foreign_born_naturalized_u.s._citizen,total_entered_1990_to_1999_foreign_born_not_a_u.s._citizen,total_entered_before_1990,total_entered_before_1990_native,total_entered_before_1990_foreign_born,total_entered_before_1990_foreign_born_naturalized_u.s._citizen,total_entered_before_1990_foreign_born_not_a_u.s._citizen,name,state,county
0500000US06049,675,31,4,27,0,27,243,0,243,23,220,121,8,113,0,113,280,22,258,105,153,"Modoc County, California",06,049
0500000US06047,70193,4903,178,4725,554,4171,16993,342,16651,3770,12881,17777,267,17510,5411,12099,30520,1202,29318,17054,12264,"Merced County, California",06,047
0500000US06033,6252,296,40,256,30,226,1432,140,1292,172,1120,1511,70,1441,728,713,3013,397,2616,1672,944,"Lake County, California",06,033
0500000US06043,1370,131,21,110,17,93,418,13,405,56,349,164,0,164,119,45,657,128,529,359,170,"Mariposa County, California",06,043
0500000US06115,10103,834,169,665,0,665,2619,278,2341,624,1717,2666,131,2535,1024,1511,3984,438,3546,2697,849,"Yuba County, California",06,115
0500000US06013,295813,37341,2886,34455,3814,30641,77253,4123,73130,23699,49431,69260,2141,67119,38073,29046,111959,9067,102892,82636,20256,"Contra Costa County, California",06,013
0500000US06027,1806,130,17,113,9,104,336,0,336,30,306,478,18,460,201,259,862,60,802,560,242,"Inyo County, California",06,027
0500000US06035,2204,153,95,58,8,50,495,22,473,86,387,558,60,498,120,378,998,182,816,298,518,"Lassen County, California",06,035
0500000US06099,116767,11092,1018,10074,905,9169,27050,938,26112,7472,18640,27305,774,26531,9708,16823,51320,3308,48012,30074,17938,"Stanislaus County, California",06,099
0500000US06083,107384,14185,826,13359,565,12794,27932,876,27056,3612,23444,24141,942,23199,7064,16135,41126,2978,38148,23406,14742,"Santa Barbara County, California",06,083
0500000US06097,89864,7954,785,7169,508,6661,22358,884,21474,4347,17127,22915,693,22222,8634,13588,36637,4295,32342,22436,9906,"Sonoma County, California",06,097
0500000US06103,6127,205,0,205,51,154,1093,55,1038,202,836,1564,71,1493,541,952,3265,221,3044,2170,874,"Tehama County, California",06,103
0500000US06025,61757,7920,1091,6829,845,5984,14149,1272,12877,4982,7895,11738,609,11129,4867,6262,27950,1788,26162,16656,9506,"Imperial County, California",06,025
0500000US06051,2722,857,249,608,0,608,793,0,793,7,786,469,0,469,88,381,603,27,576,296,280,"Mono County, California",06,051
0500000US06069,13004,912,206,706,120,586,3257,348,2909,506,2403,2883,61,2822,937,1885,5952,379,5573,3455,2118,"San Benito County, California",06,069
0500000US06001,548550,88717,3083,85634,6100,79534,149841,4825,145016,51486,93530,128852,4080,124772,79804,44968,181140,12746,168394,138823,29571,"Alameda County, California",06,001
0500000US06067,331683,42050,2000,40050,3979,36071,90411,3973,86438,38064,48374,81092,3766,77326,48937,28389,118130,11873,106257,84690,21567,"Sacramento County, California",06,067
0500000US06017,19581,1855,232,1623,290,1333,4426,329,4097,1262,2835,4307,417,3890,2056,1834,8993,1538,7455,5715,1740,"El Dorado County, California",06,017
0500000US06055,32634,2051,188,1863,278,1585,8844,146,8698,1783,6915,8386,250,8136,3163,4973,13353,1172,12181,8874,3307,"Napa County, California",06,055
0500000US06073,837381,111276,9982,101294,10674,90620,198786,12949,185837,70241,115596,190010,10088,179922,97670,82252,337309,30000,307309,220451,86858,"San Diego County, California",06,073
0500000US06053,135468,12761,1199,11562,783,10779,40053,1067,38986,4573,34413,35211,773,34438,7590,26848,47443,3475,43968,23011,20957,"Monterey County, California",06,053
0500000US06075,319871,47877,2990,44887,4005,40882,71320,3767,67553,27896,39657,69572,3284,66288,49170,17118,131102,9288,121814,106967,14847,"San Francisco County, California",06,075
