geography,total,total_native,total_foreign_born,total_foreign_born_naturalized_u.s._citizen,total_foreign_born_not_a_u.s._citizen,total_same_house_1_year_ago,total_same_house_1_year_ago_native,total_same_house_1_year_ago_foreign_born,total_same_house_1_year_ago_foreign_born_naturalized_u.s._citizen,total_same_house_1_year_ago_foreign_born_not_a_u.s._citizen,total_moved_within_same_county,total_moved_within_same_county_native,total_moved_within_same_county_foreign_born,total_moved_within_same_county_foreign_born_naturalized_u.s._citizen,total_moved_within_same_county_foreign_born_not_a_u.s._citizen,total_moved_from_different_county_within_same_state,total_moved_from_different_county_within_same_state_native,total_moved_from_different_county_within_same_state_foreign_born,total_moved_from_different_county_within_same_state_foreign_born_naturalized_u.s._citizen,total_moved_from_different_county_within_same_state_foreign_born_not_a_u.s._citizen,total_moved_from_different_state,total_moved_from_different_state_native,total_moved_from_different_state_foreign_born,total_moved_from_different_state_foreign_born_naturalized_u.s._citizen,total_moved_from_different_state_foreign_born_not_a_u.s._citizen,total_moved_from_abroad,total_moved_from_abroad_native,total_moved_from_abroad_foreign_born,total_moved_from_abroad_foreign_born_naturalized_u.s._citizen,total_moved_from_abroad_foreign_born_not_a_u.s._citizen,name,state,county
0500000US06049,8951,8310,641,128,513,7841,7305,536,128,408,336,336,0,0,0,460,422,38,0,38,314,247,67,0,67,0,0,0,0,0,"Modoc County, California",06,049
0500000US06047,263624,195477,68147,26772,41375,222346,163260,59086,24192,34894,26292,20515,5777,1642,4135,11827,9739,2088,747,1341,2012,1676,336,146,190,1147,287,860,45,815,"Merced County, California",06,047
0500000US06033,63510,57905,5605,2602,3003,51538,46918,4620,2248,2372,6569,5890,679,210,469,4494,4221,273,125,148,788,769,19,19,0,121,107,14,0,14,"Lake County, California",06,033
0500000US06043,17485,16277,1208,551,657,15668,14714,954,411,543,650,596,54,33,21,825,751,74,29,45,319,216,103,78,25,23,0,23,0,23,"Mariposa County, California",06,043
0500000US06115,73487,64414,9073,4345,4728,59096,51539,7557,3783,3774,7572,6960,612,201,411,4191,3695,496,139,357,2089,1952,137,113,24,539,268,271,109,162,"Yuba County, California",06,115
0500000US06013,1112145,834735,277410,148199,129211,963562,725747,237815,134661,103154,82389,63565,18824,7392,11432,42900,32327,10573,4401,6172,13142,10495,2647,1114,1533,10152,2601,7551,631,6920,"Contra Costa County, California",06,013
0500000US06027,18019,16308,1711,800,911,15837,14241,1596,780,816,1001,971,30,13,17,792,740,52,5,47,350,339,11,2,9,39,17,22,0,22,"Inyo County, California",06,027
0500000US06035,31105,29260,1845,512,1333,23226,21954,1272,454,818,2097,2010,87,27,60,5056,4664,392,30,362,628,577,51,1,50,98,55,43,0,43,"Lassen County, California",06,035
0500000US06099,527887,417217,110670,48135,62535,453405,356497,96908,44381,52527,50955,42556,8399,2786,5613,16673,13952,2721,761,1960,3920,3657,263,146,117,2934,555,2379,61,2318,"Stanislaus County, California",06,099
0500000US06083,437766,336117,101649,34647,67002,349295,266272,83023,30471,52552,56564,45106,11458,2636,8822,19409,16744,2665,1103,1562,7611,6668,943,338,605,4887,1327,3560,99,3461,"Santa Barbara County, California",06,083
0500000US06097,496452,413264,83188,35925,47263,428638,355953,72685,32183,40502,42027,35683,6344,2212,4132,17299,14935,2364,1101,1263,6503,5874,629,285,344,1985,819,1166,144,1022,"Sonoma County, California",06,097
0500000US06103,62435,56655,5780,2964,2816,52240,47392,4848,2622,2226,5663,4996,667,268,399,3905,3693,212,74,138,547,541,6,0,6,80,33,47,0,47,"Tehama County, California",06,103
0500000US06025,176886,119889,56997,27350,29647,151832,102171,49661,24956,24705,18275,13395,4880,2019,2861,3656,2720,936,232,704,1214,1030,184,46,138,1909,573,1336,97,1239,"Imperial County, California",06,025
0500000US06051,13969,11523,2446,391,2055,12245,10279,1966,352,1614,922,693,229,33,196,453,448,5,3,2,71,65,6,3,3,278,38,240,0,240,"Mono County, California",06,051
0500000US06069,57807,45797,12010,5018,6992,51445,40718,10727,4669,6058,3499,2994,505,205,300,2347,1770,577,121,456,314,253,61,23,38,202,62,140,0,140,"San Benito County, California",06,069
0500000US06001,1611086,1087658,523428,276097,247331,1392752,942819,449933,253646,196287,112211,77839,34372,12663,21709,60756,45102,15654,6317,9337,23815,17753,6062,2369,3693,21552,4145,17407,1102,16305,"Alameda County, California",06,001
0500000US06067,1476301,1166427,309874,175573,134301,1229794,970488,259306,155259,104047,163778,132408,31370,13782,17588,54106,44843,9263,4785,4478,19001,16031,2970,1147,1823,9622,2657,6965,600,6365,"Sacramento County, California",06,067
0500000US06017,183162,166137,17025,9323,7702,159088,144180,14908,8443,6465,11077,10244,833,475,358,9931,9116,815,372,443,2396,2300,96,33,63,670,297,373,0,373,"El Dorado County, California",06,017
0500000US06055,139802,108924,30878,14098,16780,122066,94394,27672,12822,14850,10096,8250,1846,712,1134,4877,4158,719,418,301,1984,1766,218,64,154,779,356,423,82,341,"Napa County, California",06,055
0500000US06073,3242145,2468131,774014,398950,375064,2732840,2071194,661646,358180,303466,349972,277450,72522,31270,41252,47877,40239,7638,3696,3942,75181,66496,8685,3839,4846,36275,12752,23523,1965,21558,"San Diego County, California",06,073
0500000US06053,427228,298324,128904,35946,92958,375489,258331,117158,33101,84057,25894,19193,6701,1510,5191,13969,11539,2430,734,1696,8446,7787,659,391,268,3430,1474,1956,210,1746,"Monterey County, California",06,053
0500000US06075,855285,555011,300274,187972,112302,732218,467306,264912,176051,88861,56683,41635,15048,6471,8577,32396,25388,7008,3037,3971,21021,17137,3884,1843,2041,12967,3545,9422,570,8852,"San Francisco County, California",06,075
0500000US06091,2852,2777,75,35,40,2696,2622,74,34,40,44,43,1,1,0,99,99,0,0,0,13,13,0,0,0,0,0,0,0,0,"Sierra County, California",06,091
