geography,total_living_in_area_1_year_ago,total_living_in_area_1_year_ago_native,total_living_in_area_1_year_ago_foreign_born,total_living_in_area_1_year_ago_foreign_born_naturalized_u.s._citizen,total_living_in_area_1_year_ago_foreign_born_not_a_u.s._citizen,total_living_in_area_1_year_ago_same_house,total_living_in_area_1_year_ago_same_house_native,total_living_in_area_1_year_ago_same_house_foreign_born,total_living_in_area_1_year_ago_same_house_foreign_born_naturalized_u.s._citizen,total_living_in_area_1_year_ago_same_house_foreign_born_not_a_u.s._citizen,total_living_in_area_1_year_ago_moved_within_same_county,total_living_in_area_1_year_ago_moved_within_same_county_native,total_living_in_area_1_year_ago_moved_within_same_county_foreign_born,total_living_in_area_1_year_ago_moved_within_same_county_foreign_born_naturalized_u.s._citizen,total_living_in_area_1_year_ago_moved_within_same_county_foreign_born_not_a_u.s._citizen,total_living_in_area_1_year_ago_moved_to_different_county_within_same_state,total_living_in_area_1_year_ago_moved_to_different_county_within_same_state_native,total_living_in_area_1_year_ago_moved_to_different_county_within_same_state_foreign_born,total_living_in_area_1_year_ago_moved_to_different_county_within_same_state_foreign_born_naturalized_u.s._citizen,total_living_in_area_1_year_ago_moved_to_different_county_within_same_state_foreign_born_not_a_u.s._citizen,total_living_in_area_1_year_ago_moved_to_different_state,total_living_in_area_1_year_ago_moved_to_different_state_native,total_living_in_area_1_year_ago_moved_to_different_state_foreign_born,total_living_in_area_1_year_ago_moved_to_different_state_foreign_born_naturalized_u.s._citizen,total_living_in_area_1_year_ago_moved_to_different_state_foreign_born_not_a_u.s._citizen,name,state,county
0500000US06049,9037,8501,536,128,408,7841,7305,536,128,408,336,336,0,0,0,582,582,0,0,0,278,278,0,0,0,"Modoc County, California",06,049
0500000US06047,260455,193558,66897,26511,40386,222346,163260,59086,24192,34894,26292,20515,5777,1642,4135,9041,7307,1734,602,1132,2776,2476,300,75,225,"Merced County, California",06,047
0500000US06033,62266,56750,5516,2586,2930,51538,46918,4620,2248,2372,6569,5890,679,210,469,2993,2870,123,90,33,1166,1072,94,38,56,"Lake County, California",06,033
0500000US06043,17400,16350,1050,448,602,15668,14714,954,411,543,650,596,54,33,21,702,698,4,4,0,380,342,38,0,38,"Mariposa County, California",06,043
0500000US06115,72556,64185,8371,4029,4342,59096,51539,7557,3783,3774,7572,6960,612,201,411,3955,3820,135,32,103,1933,1866,67,13,54,"Yuba County, California",06,115
0500000US06013,1096530,831813,264717,145966,118751,963562,725747,237815,134661,103154,82389,63565,18824,7392,11432,35401,29309,6092,3028,3064,15178,13192,1986,885,1101,"Contra Costa County, California",06,013
0500000US06027,18730,16995,1735,810,925,15837,14241,1596,780,816,1001,971,30,13,17,1122,1034,88,8,80,770,749,21,9,12,"Inyo County, California",06,027
0500000US06035,29099,27477,1622,518,1104,23226,21954,1272,454,818,2097,2010,87,27,60,2953,2767,186,33,153,823,746,77,4,73,"Lassen County, California",06,035
0500000US06099,524767,416666,108101,48255,59846,453405,356497,96908,44381,52527,50955,42556,8399,2786,5613,15438,13177,2261,850,1411,4969,4436,533,238,295,"Stanislaus County, California",06,099
0500000US06083,427449,330596,96853,33830,63023,349295,266272,83023,30471,52552,56564,45106,11458,2636,8822,13579,12059,1520,542,978,8011,7159,852,181,671,"Santa Barbara County, California",06,083
