geography,total,total_native,total_foreign_born,total_foreign_born_naturalized_u.s._citizen,total_foreign_born_not_a_u.s._citizen,total_car_truck_or_van_-_drove_alone,total_car_truck_or_van_-_drove_alone_native,total_car_truck_or_van_-_drove_alone_foreign_born,total_car_truck_or_van_-_drove_alone_foreign_born_naturalized_u.s._citizen,total_car_truck_or_van_-_drove_alone_foreign_born_not_a_u.s._citizen,total_car_truck_or_van_-_carpooled,total_car_truck_or_van_-_carpooled_native,total_car_truck_or_van_-_carpooled_foreign_born,total_car_truck_or_van_-_carpooled_foreign_born_naturalized_u.s._citizen,total_car_truck_or_van_-_carpooled_foreign_born_not_a_u.s._citizen,total_public_transportation_(excluding_taxicab),total_public_transportation_(excluding_taxicab)_native,total_public_transportation_(excluding_taxicab)_foreign_born,total_public_transportation_(excluding_taxicab)_foreign_born_naturalized_u.s._citizen,total_public_transportation_(excluding_taxicab)_foreign_born_not_a_u.s._citizen,total_walked,total_walked_native,total_walked_foreign_born,total_walked_foreign_born_naturalized_u.s._citizen,total_walked_foreign_born_not_a_u.s._citizen,total_taxicab_motorcycle_bicycle_or_other_means,total_taxicab_motorcycle_bicycle_or_other_means_native,total_taxicab_motorcycle_bicycle_or_other_means_foreign_born,total_taxicab_motorcycle_bicycle_or_other_means_foreign_born_naturalized_u.s._citizen,total_taxicab_motorcycle_bicycle_or_other_means_foreign_born_not_a_u.s._citizen,total_worked_at_home,total_worked_at_home_native,total_worked_at_home_foreign_born,total_worked_at_home_foreign_born_naturalized_u.s._citizen,total_worked_at_home_foreign_born_not_a_u.s._citizen,name,state,county
0500000US06049,3085,2742,343,50,293,2170,1972,198,35,163,229,187,42,0,42,16,0,16,0,16,182,134,48,2,46,23,23,0,0,0,465,426,39,13,26,"Modoc County, California",06,049
0500000US06047,95151,61158,33993,13312,20681,75012,49429,25583,10659,14924,10289,5554,4735,1623,3112,1099,888,211,96,115,2034,1322,712,191,521,3494,1730,1764,296,1468,3223,2235,988,447,541,"Merced County, California",06,047
0500000US06033,21813,19032,2781,1142,1639,15562,13754,1808,957,851,2504,1760,744,82,662,222,214,8,0,8,665,647,18,9,9,127,127,0,0,0,2733,2530,203,94,109,"Lake County, California",06,033
0500000US06043,6789,6025,764,351,413,4217,3883,334,138,196,875,667,208,111,97,163,101,62,7,55,642,566,76,47,29,265,219,46,21,25,627,589,38,27,11,"Mariposa County, California",06,043
0500000US06115,28425,23411,5014,2308,2706,22256,18617,3639,1750,1889,3804,2722,1082,337,745,276,235,41,31,10,331,264,67,49,18,398,338,60,47,13,1360,1235,125,94,31,"Yuba County, California",06,115
0500000US06013,520162,358042,162120,89113,73007,353988,250711,103277,59209,44068,61025,32968,28057,12961,15096,53698,37075,16623,9491,7132,8800,6227,2573,939,1634,10060,6632,3428,1431,1997,32591,24429,8162,5082,3080,"Contra Costa County, California",06,013
0500000US06027,8078,6904,1174,482,692,5603,4922,681,337,344,1012,720,292,113,179,101,88,13,9,4,580,466,114,11,103,418,374,44,0,44,364,334,30,12,18,"Inyo County, California",06,027
0500000US06035,8737,8472,265,160,105,6994,6781,213,132,81,855,832,23,20,3,57,57,0,0,0,246,221,25,4,21,77,77,0,0,0,508,504,4,4,0,"Lassen County, California",06,035
0500000US06099,212692,155260,57432,25618,31814,171174,127564,43610,20765,22845,23217,14457,8760,2799,5961,1709,1429,280,137,143,3217,2044,1173,341,832,3652,2448,1204,462,742,9723,7318,2405,1114,1291,"Stanislaus County, California",06,099
0500000US06083,207428,145648,61780,20221,41559,141027,104502,36525,14221,22304,28252,13248,15004,2597,12407,6653,4266,2387,677,1710,9523,6525,2998,817,2181,9942,7618,2324,518,1806,12031,9489,2542,1391,1151,"Santa Barbara County, California",06,083
0500000US06097,243493,192597,50896,21639,29257,182680,146537,36143,16820,19323,26711,17795,8916,2849,6067,4672,3808,864,263,601,7538,5608,1930,444,1486,5074,4172,902,186,716,16818,14677,2141,1077,1064,"Sonoma County, California",06,097
