geography,total,total_native,total_foreign_born,total_foreign_born_naturalized_u.s._citizen,total_foreign_born_not_a_u.s._citizen,total_car_truck_or_van_-_drove_alone,total_car_truck_or_van_-_drove_alone_native,total_car_truck_or_van_-_drove_alone_foreign_born,total_car_truck_or_van_-_drove_alone_foreign_born_naturalized_u.s._citizen,total_car_truck_or_van_-_drove_alone_foreign_born_not_a_u.s._citizen,total_car_truck_or_van_-_carpooled,total_car_truck_or_van_-_carpooled_native,total_car_truck_or_van_-_carpooled_foreign_born,total_car_truck_or_van_-_carpooled_foreign_born_naturalized_u.s._citizen,total_car_truck_or_van_-_carpooled_foreign_born_not_a_u.s._citizen,total_public_transportation_(excluding_taxicab),total_public_transportation_(excluding_taxicab)_native,total_public_transportation_(excluding_taxicab)_foreign_born,total_public_transportation_(excluding_taxicab)_foreign_born_naturalized_u.s._citizen,total_public_transportation_(excluding_taxicab)_foreign_born_not_a_u.s._citizen,total_walked,total_walked_native,total_walked_foreign_born,total_walked_foreign_born_naturalized_u.s._citizen,total_walked_foreign_born_not_a_u.s._citizen,total_taxicab_motorcycle_bicycle_or_other_means,total_taxicab_motorcycle_bicycle_or_other_means_native,total_taxicab_motorcycle_bicycle_or_other_means_foreign_born,total_taxicab_motorcycle_bicycle_or_other_means_foreign_born_naturalized_u.s._citizen,total_taxicab_motorcycle_bicycle_or_other_means_foreign_born_not_a_u.s._citizen,total_worked_at_home,total_worked_at_home_native,total_worked_at_home_foreign_born,total_worked_at_home_foreign_born_naturalized_u.s._citizen,total_worked_at_home_foreign_born_not_a_u.s._citizen,name,state,county
0500000US06049,2910,2630,280,52,228,2017,1872,145,37,108,206,175,31,0,31,16,0,16,0,16,182,134,48,2,46,24,23,1,0,1,465,426,39,13,26,"Modoc County, California",06,049
0500000US06047,81854,54558,27296,11196,16100,64580,43829,20751,9071,11680,8198,4794,3404,1173,2231,1030,880,150,70,80,1965,1287,678,191,487,2858,1533,1325,244,1081,3223,2235,988,447,541,"Merced County, California",06,047
0500000US06033,17854,15514,2340,1019,1321,12228,10816,1412,803,609,1993,1294,699,113,586,194,186,8,0,8,591,573,18,9,9,115,115,0,0,0,2733,2530,203,94,109,"Lake County, California",06,033
0500000US06043,6318,5554,764,429,335,3779,3401,378,213,165,803,639,164,114,50,176,114,62,7,55,642,566,76,47,29,291,245,46,21,25,627,589,38,27,11,"Mariposa County, California",06,043
0500000US06115,24062,20199,3863,2392,1471,19058,16016,3042,1881,1161,2778,2213,565,309,256,64,52,12,7,5,347,275,72,54,18,455,408,47,47,0,1360,1235,125,94,31,"Yuba County, California",06,115
0500000US06013,388553,275901,112652,61006,51646,286202,208685,77517,44341,33176,44506,25460,19046,8715,10331,9567,6389,3178,1314,1864,8413,6060,2353,764,1589,7274,4878,2396,790,1606,32591,24429,8162,5082,3080,"Contra Costa County, California",06,013
0500000US06027,8028,7062,966,439,527,5719,5041,678,370,308,884,797,87,37,50,54,41,13,9,4,582,468,114,11,103,425,381,44,0,44,364,334,30,12,18,"Inyo County, California",06,027
0500000US06035,9748,9345,403,230,173,7348,7009,339,190,149,1521,1486,35,32,3,57,57,0,0,0,246,221,25,4,21,68,68,0,0,0,508,504,4,4,0,"Lassen County, California",06,035
0500000US06099,190559,140610,49949,22465,27484,155069,116784,38285,18378,19907,17863,11306,6557,2109,4448,1361,1055,306,182,124,3276,2067,1209,341,868,3267,2080,1187,341,846,9723,7318,2405,1114,1291,"Stanislaus County, California",06,099
0500000US06083,220631,155700,64931,21718,43213,151013,112473,38540,15401,23139,30255,14387,15868,2773,13095,7322,4788,2534,756,1778,9550,6586,2964,806,2158,10460,7977,2483,591,1892,12031,9489,2542,1391,1151,"Santa Barbara County, California",06,083
0500000US06097,226759,176490,50269,21323,28946,170557,134580,35977,16679,19298,24292,15640,8652,2804,5848,2870,2226,644,152,492,7443,5566,1877,419,1458,4779,3801,978,192,786,16818,14677,2141,1077,1064,"Sonoma County, California",06,097
0500000US06103,20630,17487,3143,1578,1565,16260,13944,2316,1174,1142,2261,1673,588,292,296,100,44,56,21,35,646,527,119,84,35,279,255,24,0,24,1084,1044,40,7,33,"Tehama County, California",06,103
0500000US06025,57751,34604,23147,12336,10811,46790,28663,18127,10084,8043,5304,2941,2363,1095,1268,457,284,173,47,126,1115,595,520,345,175,1515,1002,513,155,358,2570,1119,1451,610,841,"Imperial County, California",06,025
