geography,total,total_native_population,total_native_population_5_to_17_years,total_native_population_5_to_17_years_speak_only_english,total_native_population_5_to_17_years_speak_spanish,total_native_population_5_to_17_years_speak_spanish_speak_english_very_well,total_native_population_5_to_17_years_speak_spanish_speak_english_less_than_very_well,total_native_population_5_to_17_years_speak_other_languages,total_native_population_5_to_17_years_speak_other_languages_speak_english_very_well,total_native_population_5_to_17_years_speak_other_languages_speak_english_less_than_very_well,total_native_population_18_years_and_over,total_native_population_18_years_and_over_speak_only_english,total_native_population_18_years_and_over_speak_spanish,total_native_population_18_years_and_over_speak_spanish_speak_english_very_well,total_native_population_18_years_and_over_speak_spanish_speak_english_less_than_very_well,total_native_population_18_years_and_over_speak_other_languages,total_native_population_18_years_and_over_speak_other_languages_speak_english_very_well,total_native_population_18_years_and_over_speak_other_languages_speak_english_less_than_very_well,total_foreign-born_population,total_foreign-born_population_naturalized_u.s._citizen,total_foreign-born_population_naturalized_u.s._citizen_5_to_17_years,total_foreign-born_population_naturalized_u.s._citizen_5_to_17_years_speak_only_english,total_foreign-born_population_naturalized_u.s._citizen_5_to_17_years_speak_spanish,total_foreign-born_population_naturalized_u.s._citizen_5_to_17_years_speak_spanish_speak_english_very_well,total_foreign-born_population_naturalized_u.s._citizen_5_to_17_years_speak_spanish_speak_english_less_than_very_well,total_foreign-born_population_naturalized_u.s._citizen_5_to_17_years_speak_other_languages,total_foreign-born_population_naturalized_u.s._citizen_5_to_17_years_speak_other_languages_speak_english_very_well,total_foreign-born_population_naturalized_u.s._citizen_5_to_17_years_speak_other_languages_speak_english_less_than_very_well,total_foreign-born_population_naturalized_u.s._citizen_18_years_and_over,total_foreign-born_population_naturalized_u.s._citizen_18_years_and_over_speak_only_english,total_foreign-born_population_naturalized_u.s._citizen_18_years_and_over_speak_spanish,total_foreign-born_population_naturalized_u.s._citizen_18_years_and_over_speak_spanish_speak_english_very_well,total_foreign-born_population_naturalized_u.s._citizen_18_years_and_over_speak_spanish_speak_english_less_than_very_well,total_foreign-born_population_naturalized_u.s._citizen_18_years_and_over_speak_other_languages,total_foreign-born_population_naturalized_u.s._citizen_18_years_and_over_speak_other_languages_speak_english_very_well,total_foreign-born_population_naturalized_u.s._citizen_18_years_and_over_speak_other_languages_speak_english_less_than_very_well,total_foreign-born_population_not_a_u.s._citizen,total_foreign-born_population_not_a_u.s._citizen_5_to_17_years,total_foreign-born_population_not_a_u.s._citizen_5_to_17_years_speak_only_english,total_foreign-born_population_not_a_u.s._citizen_5_to_17_years_speak_spanish,total_foreign-born_population_not_a_u.s._citizen_5_to_17_years_speak_spanish_speak_english_very_well,total_foreign-born_population_not_a_u.s._citizen_5_to_17_years_speak_spanish_speak_english_less_than_very_well,total_foreign-born_population_not_a_u.s._citizen_5_to_17_years_speak_other_languages,total_foreign-born_population_not_a_u.s._citizen_5_to_17_years_speak_other_languages_speak_english_very_well,total_foreign-born_population_not_a_u.s._citizen_5_to_17_years_speak_other_languages_speak_english_less_than_very_well,total_foreign-born_population_not_a_u.s._citizen_18_years_and_over,total_foreign-born_population_not_a_u.s._citizen_18_years_and_over_speak_only_english,total_foreign-born_population_not_a_u.s._citizen_18_years_and_over_speak_spanish,total_foreign-born_population_not_a_u.s._citizen_18_years_and_over_speak_spanish_speak_english_very_well,total_foreign-born_population_not_a_u.s._citizen_18_years_and_over_speak_spanish_speak_english_less_than_very_well,total_foreign-born_population_not_a_u.s._citizen_18_years_and_over_speak_other_languages,total_foreign-born_population_not_a_u.s._citizen_18_years_and_over_speak_other_languages_speak_english_very_well,total_foreign-born_population_not_a_u.s._citizen_18_years_and_over_speak_other_languages_speak_english_less_than_very_well,name,state,county
0500000US06049,8637,7996,1341,1074,267,220,47,0,0,0,6655,6279,272,256,16,104,104,0,641,128,0,0,0,0,0,0,0,0,128,19,72,0,72,37,2,35,513,37,0,37,12,25,0,0,0,476,37,351,55,296,88,74,14,"Modoc County, California",06,049
0500000US06047,246042,178161,55724,28961,24094,17800,6294,2669,2226,443,122437,85118,32336,28320,4016,4983,4463,520,67881,26735,718,69,315,204,111,334,242,92,26017,1828,14892,5547,9345,9297,4297,5000,41146,2074,59,1837,1214,623,178,92,86,39072,1373,33141,5745,27396,4558,1788,2770,"Merced County, California",06,047
0500000US06033,60495,54890,9312,7209,2004,1497,507,99,97,2,45578,42673,2699,2231,468,206,178,28,5605,2602,35,0,35,35,0,0,0,0,2567,759,1306,640,666,502,367,135,3003,181,13,168,34,134,0,0,0,2822,591,2052,319,1733,179,89,90,"Lake County, California",06,033
0500000US06043,16900,15692,2114,1879,205,205,0,30,30,0,13578,12900,502,463,39,176,176,0,1208,551,0,0,0,0,0,0,0,0,551,125,121,70,51,305,232,73,657,30,10,20,20,0,0,0,0,627,155,235,83,152,237,139,98,"Mariposa County, California",06,043
0500000US06115,68562,59489,14333,11197,2390,1984,406,746,522,224,45156,39892,4129,3944,185,1135,1006,129,9073,4345,19,19,0,0,0,0,0,0,4326,631,1776,772,1004,1919,945,974,4728,231,10,215,114,101,6,6,0,4497,301,3400,709,2691,796,425,371,"Yuba County, California",06,115
0500000US06013,1058105,782086,182500,128880,37143,30771,6372,16477,14611,1866,599586,525975,48303,42749,5554,25308,21569,3739,276019,147908,3647,1128,731,526,205,1788,1547,241,144261,23280,34422,16416,18006,86559,50693,35866,128111,9783,1253,4643,3123,1520,3887,2231,1656,118328,9533,64817,13390,51427,43978,20806,23172,"Contra Costa County, California",06,013
0500000US06027,17159,15448,2610,2030,542,494,48,38,34,4,12838,12152,503,449,54,183,145,38,1711,800,18,0,18,0,18,0,0,0,782,207,423,294,129,152,126,26,911,44,0,44,30,14,0,0,0,867,197,595,124,471,75,45,30,"Inyo County, California",06,027
0500000US06035,30054,28213,3599,3293,288,192,96,18,18,0,24614,21213,3007,2263,744,394,340,54,1841,512,5,0,1,1,0,4,4,0,507,166,173,85,88,168,96,72,1329,5,2,3,1,2,0,0,0,1324,115,873,190,683,336,154,182,"Lassen County, California",06,035
0500000US06099,496438,386131,102172,61986,36374,31310,5064,3812,3105,707,283959,220975,54243,48017,6226,8741,7673,1068,110307,48103,767,171,178,144,34,418,297,121,47336,3925,22667,9208,13459,20744,9571,11173,62204,4150,139,3053,1946,1107,958,409,549,58054,2303,47007,7680,39327,8744,3328,5416,"Stanislaus County, California",06,099
0500000US06083,414427,313053,66272,35553,29063,24027,5036,1656,1451,205,246781,202804,36523,32233,4290,7454,6788,666,101374,34629,401,53,260,206,54,88,75,13,34228,6695,18594,7502,11092,8939,5264,3675,66745,4044,370,3020,1804,1216,654,438,216,62701,4464,48952,8017,40935,9285,3920,5365,"Santa Barbara County, California",06,083
0500000US06097,474758,391801,72072,48647,21423,16569,4854,2002,1653,349,319729,291455,22000,19031,2969,6274,5660,614,82957,35881,616,205,263,176,87,148,107,41,35265,7861,14898,6396,8502,12506,7482,5024,47076,3073,276,2416,1497,919,381,241,140,44003,4991,32718,6653,26065,6294,3453,2841,"Sonoma County, California",06,097
0500000US06103,59371,53591,11082,8078,2862,2101,761,142,87,55,42509,39163,3086,2671,415,260,197,63,5780,2964,15,9,6,4,2,0,0,0,2949,507,1939,815,1124,503,275,228,2816,154,29,125,0,125,0,0,0,2662,190,2403,534,1869,69,44,25,"Tehama County, California",06,103
