geography,total,total_native_born,total_native_born_with_health_insurance_coverage,total_native_born_with_health_insurance_coverage_with_private_health_insurance,total_native_born_with_health_insurance_coverage_with_public_coverage,total_native_born_no_health_insurance_coverage,total_foreign_born,total_foreign_born_naturalized,total_foreign_born_naturalized_with_health_insurance_coverage,total_foreign_born_naturalized_with_health_insurance_coverage_with_private_health_insurance,total_foreign_born_naturalized_with_health_insurance_coverage_with_public_coverage,total_foreign_born_naturalized_no_health_insurance_coverage,total_foreign_born_noncitizen,total_foreign_born_noncitizen_with_health_insurance_coverage,total_foreign_born_noncitizen_with_health_insurance_coverage_with_private_health_insurance,total_foreign_born_noncitizen_with_health_insurance_coverage_with_public_coverage,total_foreign_born_noncitizen_no_health_insurance_coverage,name,state,county
0500000US06049,8784,8173,6897,4141,4129,1276,611,112,112,38,112,0,499,366,83,283,133,"Modoc County, California",06,049
0500000US06047,264519,196779,181843,101053,100405,14936,67740,26732,23848,14126,12147,2884,41008,29439,12391,18119,11569,"Merced County, California",06,047
0500000US06033,63433,57892,51790,27921,33977,6102,5541,2584,2392,1265,1485,192,2957,1737,959,951,1220,"Lake County, California",06,033
0500000US06043,17489,16286,15627,11466,7828,659,1203,548,516,380,221,32,655,485,368,223,170,"Mariposa County, California",06,043
0500000US06115,72464,63608,58248,35559,30354,5360,8856,4276,3683,2082,1920,593,4580,3130,1750,1395,1450,"Yuba County, California",06,115
0500000US06013,1118246,841354,801134,649088,260212,40220,276892,147857,140228,113045,47204,7629,129035,96738,66169,35004,32297,"Contra Costa County, California",06,013
0500000US06027,17785,16128,14995,11249,6638,1133,1657,772,759,640,281,13,885,670,502,242,215,"Inyo County, California",06,027
0500000US06035,21739,21172,19736,14684,8359,1436,567,347,304,199,151,43,220,167,112,78,53,"Lassen County, California",06,035
0500000US06099,532471,422173,394252,249866,188352,27921,110298,47930,43856,27933,20431,4074,62368,45582,21167,26029,16786,"Stanislaus County, California",06,099
0500000US06083,435899,335459,313137,231102,125534,22322,100440,34225,31386,23325,13190,2839,66215,38932,24272,16077,27283,"Santa Barbara County, California",06,083
0500000US06097,496690,413921,389125,303195,147732,24796,82769,35679,32717,25153,13202,2962,47090,32898,22272,12242,14192,"Sonoma County, California",06,097
0500000US06103,62714,56964,52486,31725,29480,4478,5750,2956,2635,1666,1221,321,2794,2061,924,1196,733,"Tehama County, California",06,103
0500000US06025,170512,115167,104220,58181,55060,10947,55345,27164,24172,11830,13978,2992,28181,21953,9008,13822,6228,"Imperial County, California",06,025
0500000US06051,13968,11532,10550,7934,3971,982,2436,385,343,178,271,42,2051,730,464,278,1321,"Mono County, California",06,051
0500000US06069,58511,46529,43587,32130,15879,2942,11982,5000,4521,3289,1813,479,6982,4760,2458,2574,2222,"San Benito County, California",06,069
0500000US06001,1619367,1097300,1040597,831110,320065,56703,522067,275026,261792,198808,89939,13234,247041,205357,143308,68538,41684,"Alameda County, California",06,001
0500000US06067,1480422,1172251,1099027,792418,446626,73224,308171,174723,160265,108790,69816,14458,133448,97122,51216,49741,36326,"Sacramento County, California",06,067
0500000US06017,183777,166833,157844,126062,59797,8989,16944,9244,9002,7244,3500,242,7700,5919,4030,2265,1781,"El Dorado County, California",06,017
0500000US06055,139208,108461,102494,82244,36801,5967,30747,14027,13246,10871,4803,781,16720,13099,9908,3885,3621,"Napa County, California",06,055
0500000US06073,3186685,2421160,2238236,1730807,752984,182924,765525,392439,359992,263044,143761,32447,373086,256908,164109,102446,116178,"San Diego County, California",06,073
0500000US06053,416786,290022,266554,175514,122392,23468,126764,35474,32321,23495,14110,3153,91290,60980,36705,26259,30310,"Monterey County, California",06,053
0500000US06075,859959,560760,535745,447692,135667,25015,299199,186983,179376,120917,81457,7607,112216,97295,67320,33886,14921,"San Francisco County, California",06,075
0500000US06091,2858,2784,2524,1773,1334,260,74,34,34,30,7,0,40,31,0,31,9,"Sierra County, California",06,091
0500000US06107,454868,352716,325727,166859,188351,26989,102152,32621,29175,16204,15546,3446,69531,44686,14017,32162,24845,"Tulare County, California",06,107
0500000US06113,211123,163058,154211,121774,49694,8847,48065,21919,20210,14900,7517,1709,26146,20418,13875,7211,5728,"Yolo County, California",06,113
0500000US06023,134525,127329,112842,71072,60309,14487,7196,3067,2722,1943,1267,345,4129,2480,1363,1326,1649,"Humboldt County, California",06,023
0500000US06057,97938,92039,84060,61923,39896,7979,5899,2955,2709,2042,1342,246,2944,1656,1191,623,1288,"Nevada County, California",06,057
0500000US06003,1203,1180,1043,597,609,137,23,14,14,13,8,0,9,1,1,0,8,"Alpine County, California",06,003
0500000US06039,146644,114440,105556,60003,60348,8884,32204,9517,8527,5154,4369,990,22687,15417,4888,10983,7270,"Madera County, California",06,039
0500000US06045,86720,75292,68812,39729,40729,6480,11428,4222,3785,1999,2323,437,7206,4433,1670,2850,2773,"Mendocino County, California",06,045
0500000US06087,271860,222827,209193,161452,73948,13634,49033,18427,16982,13060,6386,1445,30606,23201,14718,9756,7405,"Santa Cruz County, California",06,087
0500000US06105,12863,12205,10606,6088,6387,1599,658,237,237,162,105,0,421,208,70,138,213,"Trinity County, California",06,105
0500000US06037,10038224,6575412,6012147,4100252,2394142,563265,3462812,1757814,1594218,1018277,716609,163596,1704998,1095263,585560,539723,609735,"Los Angeles County, California",06,037
0500000US06065,2333253,1824035,1656815,1096219,731957,167220,509218,240039,213557,143292,91729,26482,269179,174902,94648,87435,94277,"Riverside County, California",06,065
0500000US06071,2070914,1634373,1500606,941718,684119,133767,436541,213419,189805,128031,78223,23614,223122,141173,78090,67756,81949,"San Bernardino County, California",06,071
0500000US06085,1902184,1166401,1114480,914221,312956,51921,735783,392095,374629,291645,119327,17466,343688,295409,232900,69532,48279,"Santa Clara County, California",06,085
0500000US06041,256100,209739,203263,171284,64718,6476,46361,21548,20609,16671,8309,939,24813,18974,13057,7200,5839,"Marin County, California",06,041
0500000US06061,372281,331983,314654,266384,99998,17329,40298,25274,24141,20287,8411,1133,15024,10731,7775,3753,4293,"Placer County, California",06,061
0500000US06093,43402,41130,38124,22261,22785,3006,2272,1118,1000,636,590,118,1154,678,321,420,476,"Siskiyou County, California",06,093
0500000US06089,177505,168115,153200,99264,80445,14915,9390,4562,3996,2542,2354,566,4828,3611,2500,1362,1217,"Shasta County, California",06,089
0500000US06095,422306,336049,316261,243989,119267,19788,86257,50812,47845,38533,19198,2967,35445,26963,17043,11689,8482,"Solano County, California",06,095
0500000US06015,24226,22839,21011,12212,12215,1828,1387,777,745,360,476,32,610,519,211,355,91,"Del Norte County, California",06,015
0500000US06011,21299,15789,14608,8698,7763,1181,5510,2256,1914,1280,805,342,3254,1886,976,999,1368,"Colusa County, California",06,011
0500000US06021,27636,22083,20233,12591,10839,1850,5553,1747,1544,1013,686,203,3806,2587,1343,1345,1219,"Glenn County, California",06,021
0500000US06007,222635,205639,190135,126621,94021,15504,16996,8872,8045,4906,4375,827,8124,5819,3303,3033,2305,"Butte County, California",06,007
0500000US06031,132483,107042,100008,63417,46667,7034,25441,8921,8176,5721,3783,745,16520,10624,4564,6498,5896,"Kings County, California",06,031
0500000US06063,18571,17948,16803,11830,8761,1145,623,297,283,244,125,14,326,256,200,126,70,"Plumas County, California",06,063
0500000US06079,273626,245363,230025,185855,81501,15338,28263,12886,11578,8935,4996,1308,15377,8619,5947,3187,6758,"San Luis Obispo County, California",06,079
0500000US06019,960471,757727,697355,419032,361447,60372,202744,78870,70556,41447,36635,8314,123874,80446,31799,52187,43428,"Fresno County, California",06,019
0500000US06029,850055,679770,626160,378281,308841,53610,170285,58080,50976,32095,23350,7104,112205,77469,33619,46031,34736,"Kern County, California",06,029
0500000US06059,3139021,2187604,2050328,1558577,682000,137276,951417,502189,465661,326115,181538,36528,449228,295788,194515,110697,153440,"Orange County, California",06,059
0500000US06111,841387,651495,608625,471301,208703,42870,189892,89830,82719,60702,33010,7111,100062,58858,37940,22984,41204,"Ventura County, California",06,111
0500000US06009,44675,42136,39320,27588,20180,2816,2539,1173,1143,846,705,30,1366,1261,840,551,105,"Calaveras County, California",06,009
0500000US06101,94357,72737,66840,43452,33559,5897,21620,10540,9211,5651,4330,1329,11080,7145,2048,5321,3935,"Sutter County, California",06,101
0500000US06081,759448,495679,476620,404879,128459,19059,263769,150148,143994,117783,47829,6154,113621,94641,69280,29582,18980,"San Mateo County, California",06,081
0500000US06109,50891,48556,45478,32054,23288,3078,2335,1585,1527,1306,584,58,750,503,368,206,247,"Tuolumne County, California",06,109
0500000US06077,715502,548033,511064,336667,229829,36969,167469,79269,72702,48433,32530,6567,88200,62682,30725,34522,25518,"San Joaquin County, California",06,077
0500000US06005,33587,31726,30093,21699,15509,1633,1861,1145,1127,941,483,18,716,491,420,129,225,"Amador County, California",06,005
