,name,url,agency_type,street_address,longitude,latitude
0,Department of Developmental Services,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10384&myzip=95814&distance=3500,State Agency,"1600 9th Street, #340, MS 3-17 Sacramento, CA 95814",-121.49764,38.57301
1,Office of Correctional Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10434&myzip=95814&distance=3500,State Agency,"1515 S Street Room 400-South Sacramento, CA 95811",-121.490177,38.568732
2,Sacramento City Adult Education Office,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10112&myzip=95814&distance=3500,Local Educational Agency (LEA),"5241 J Street Sacramento, CA 95819",-121.439157,38.566467
3,Washington Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10271&myzip=95814&distance=3500,Local Educational Agency (LEA),"919 Westacre Road West Sacramento, CA 95691",-121.529277,38.577762
4,Natomas Adult Education Program - Discover HS,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9748&myzip=95814&distance=3500,Local Educational Agency (LEA),"3401 Rosin Boulevard Sacramento, CA 95834",-121.50287,38.63075
5,Los Rios Community College District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888421&myzip=95814&distance=3500,Community College,"1919 Spanos Court Sacramento, CA 95825",-121.417196,38.580096
6,Sacramento City College,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=994437807&myzip=95814&distance=3500,Community College,"3835 Freeport Blvd. Sacramento, California 95822",-121.489393,38.540615
7,Highlands Community Charter School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=11057&myzip=95814&distance=3500,,"1333 Grand Avenue Sacramento, CA 95838",-121.43506,38.63744
8,Twin Rivers Adult - Grand Ave Center,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=53430444&myzip=95814&distance=3500,LEA,"1333 Grand Avenue Sacramento, CA 95838",-121.43506,38.63744
9,Charles A. Jones Education Center (Adult),https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=393430030&myzip=95814&distance=3500,LEA,"5451 Lemon Hill Avenue Sacramento, CA 95824",-121.440956,38.517488
